build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
668314751,234ec7ab5eb329c1886bf96f42e532f5ab326c4e,,feature/dependency-updates,passed,442,2020-03-29 10:24:54 UTC,668314752,668314753,push
666152132,93d2efb0ecb515c2bc7a27e19144ba2e52a475dc,,master,passed,452,2020-03-24 02:18:27 UTC,666152133,666152134,push
665529818,8ba5c5cc2c247de611795caba5285163536f9b04,337,master,passed,498,2020-03-22 15:50:23 UTC,665529819,665529820,pull_request
665528262,412661194d0cb0a8e67e29db088dc301769f4163,,master,passed,575,2020-03-22 15:46:07 UTC,665528263,665528264,push
665526165,dd643f896ee98bd23e7aa20baf7e3183bd29571c,333,master,passed,419,2020-03-22 15:39:50 UTC,665526166,665526167,pull_request
665524268,fac05a37c1535169748887a651336a3ab814f7a6,333,master,passed,412,2020-03-22 15:33:31 UTC,665524269,665524270,pull_request
664530170,5a606ac7b8dc0bad2db1751c4745384b7538ffdc,333,master,passed,421,2020-03-19 18:34:45 UTC,664530171,664530172,pull_request
664524167,8dc33746706f0b9a961ec0ac1cd3fd5307a30051,333,master,failed,294,2020-03-19 18:21:02 UTC,664524168,664524169,pull_request
658457329,7f22fc0a014352d6623c0e51b546cc67643f6c11,333,master,passed,471,2020-03-04 23:32:18 UTC,658457330,658457331,pull_request
658457046,f21cd5253a96c09cb0ea071c00b61a43900a36d3,333,master,passed,509,2020-03-04 23:31:23 UTC,658457047,658457048,pull_request
658456738,d83727e1ef00d651ed5179b48302e2b9c5d1ee37,333,master,passed,505,2020-03-04 23:30:24 UTC,658456739,658456740,pull_request
658451537,e62995553fbdd78961c592ed66532ac8f24752e9,333,master,passed,405,2020-03-04 23:14:37 UTC,658451538,658451539,pull_request
658400683,8d813340b1b33963fbdbded411f97edecf68077b,333,master,passed,447,2020-03-04 20:58:48 UTC,658400684,658400685,pull_request
658400435,d66978ded7837363da13b04f55b43ff85892edde,333,master,passed,402,2020-03-04 20:58:05 UTC,658400436,658400437,pull_request
