build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
566660012,4d3debba4d355f8ae93010f558f4cd3fdf00b2b9,,master,failed,942,2019-08-01 20:24:20 UTC,566660013,566660014,566660015,566660016,566660017,push
566658045,046cf7b1c9b507bd8a1ed1bc06c609edb1a3037e,190,master,errored,694,2019-08-01 20:20:43 UTC,566658046,566658047,566658048,566658049,566658050,pull_request
566657904,3ff6a884d45a12e16397809df3d99137d37d96e2,,release-s390x-instructions,failed,1240,2019-08-01 20:17:46 UTC,566657905,566657906,566657907,566657908,566657909,push
566077586,857229298273c1babd1ed3b0bad50dff257b8f15,,master,passed,2031,2019-07-31 17:07:00 UTC,566077587,566077588,566077589,566077590,566077591,push
566045022,842eea7e41761e16f79b060558d8fb062b1568b3,189,master,passed,1277,2019-07-31 15:50:51 UTC,566045023,566045024,566045025,566045026,566045027,pull_request
559130542,daea290393823d42af310b66d91da3a7e506f1e1,,master,passed,1279,2019-07-15 21:06:21 UTC,559130543,559130544,559130545,559130546,559130547,push
559116712,99110ddd9627047fbb5729c9bead7c2f7a19e762,187,master,passed,1233,2019-07-15 20:33:46 UTC,559116713,559116714,559116715,559116717,559116718,pull_request
559116699,46774f60681a54b0683682b24ea0c0c53f0ccbd0,,fix-bitrot-again,passed,1247,2019-07-15 20:28:37 UTC,559116700,559116701,559116702,559116703,559116704,push
559115516,d734d92cf1099b796941865962d46677f83ae9a6,187,master,passed,1290,2019-07-15 20:25:00 UTC,559115517,559115518,559115519,559115520,559115522,pull_request
559115500,b403a533efef75c1342c389c7b654bdcc8bcefdf,,fix-bitrot-again,canceled,680,2019-07-15 20:22:23 UTC,559115501,559115502,559115503,559115504,559115505,push
559112698,146c2dd08983638135f9fb0e058ff1cefd11b5ae,187,master,passed,1273,2019-07-15 20:15:29 UTC,559112699,559112700,559112701,559112702,559112703,pull_request
559066022,f4514f11ffb4af780b76082f4944eb91aec4436f,,fix-bitrot-again,passed,1277,2019-07-15 18:43:11 UTC,559066023,559066024,559066025,559066026,559066027,push
559058557,64de75f5f162a5edd3cf4e5f1c5419de7c3d45c3,,fix-bitrot-again,failed,1067,2019-07-15 18:25:31 UTC,559058558,559058559,559058560,559058561,559058562,push
559054627,71432feaa7895a89dfcc8f432bbdadd339bf393c,,fix-bitrot-again,canceled,0,,559054628,559054629,559054630,559054631,559054632,push
559051891,120a62d1440005f781808376cffb6d4e5719752f,,fix-bitrot-again,errored,176,2019-07-15 18:04:03 UTC,559051892,559051893,559051894,559051895,559051896,push
