build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
204426945,a1b0b24dff4cb6371a90ff4c7a9faf39c7b05502,586,master,passed,204,2017-02-23 00:35:41 UTC,204426946,204426947,204426948,204426949,pull_request
204426645,4df74f5ede18ac715b860f415b5596c01d959bf8,,pr-and-issue-template,passed,190,2017-02-23 00:33:50 UTC,204426646,204426647,204426648,204426649,push
204413951,72d03872ec64732a3b067b8cc3f25d2b4e3b73df,,master,passed,205,2017-02-22 23:35:55 UTC,204413952,204413953,204413954,204413956,push
204064317,64a171ed7e010840c7b570e6ca9311d61ba26616,,v3.0.0.beta2,passed,187,2017-02-22 04:03:14 UTC,204064318,204064319,204064320,204064321,push
204064249,64a171ed7e010840c7b570e6ca9311d61ba26616,,master,passed,216,2017-02-22 04:03:04 UTC,204064250,204064252,204064254,204064255,push
204061914,8d4c25c094226f6e7b925393adbd2a1a08b5a6b5,,master,passed,194,2017-02-22 03:47:45 UTC,204061915,204061916,204061917,204061918,push
204061476,5b397109996c66abb4bbf2c900754ebb4827d263,584,master,passed,220,2017-02-22 03:44:59 UTC,204061477,204061478,204061479,204061480,pull_request
204061077,22d6493d419131ce870c44ceb92f2eb11da2966b,,further-batch-api-refactors,passed,180,2017-02-22 03:42:16 UTC,204061078,204061079,204061080,204061081,push
204053990,91f11a204cbe387bcf0d854b329dc5a3edb13714,,master,passed,225,2017-02-22 02:57:23 UTC,204053991,204053992,204053993,204053994,push
204053799,87a5f6a1d19f53999f6e5e2d244c01e1a88ace91,583,master,passed,186,2017-02-22 02:56:13 UTC,204053800,204053801,204053802,204053803,pull_request
204053384,612f33d6a9e536910f6c342783b4fc59bdd56bdc,,fix-some-live-tests,passed,234,2017-02-22 02:53:24 UTC,204053385,204053387,204053389,204053391,push
204052949,59e5c9e0f5c248b5aa983f7453e029f358f66e24,,further-batch-api-refactors,passed,184,2017-02-22 02:51:10 UTC,204052950,204052951,204052953,204052955,push
204051421,4915c4d61f26ecaeb833dac4e2131cd3ca118fe4,,further-batch-api-refactors,failed,177,2017-02-22 02:42:16 UTC,204051422,204051423,204051424,204051425,push
203916010,a88e1fd0d5153dfb8b1770eab67dc94bb78ffbc9,582,release-2.5,errored,264,2017-02-21 18:32:59 UTC,203916011,203916012,203916013,203916014,203916015,pull_request
203901151,c10d75548c56d1f32889e1585f607df516292e8f,582,release-2.5,errored,336,2017-02-21 17:51:37 UTC,203901152,203901153,203901154,203901156,203901159,pull_request
