build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
711603123,a21ed6a18f1ebedd0ed829b89f8cca0fe380f35c,,revert-217-dev-with-fsm,passed,769,2020-07-24 21:44:44 UTC,711603124,711603126,711603128,711603131,711603132,push
711601355,328b58cc77f3b675128c265bfe6231c38ed29028,,develop,errored,358,2020-07-24 21:35:00 UTC,711601356,711601357,711601358,711601359,711601360,push
711600856,720039506fd22d9de54b9fe874b83bb8f715d53e,217,develop,errored,374,2020-07-24 21:31:55 UTC,711600857,711600858,711600859,711600860,711600861,pull_request
711598226,e8328355104c4845a11cf8ed3bc8681e9947e59d,,develop,passed,515,2020-07-24 21:25:07 UTC,711598227,711598228,711598229,711598230,711598231,push
711597732,949c2ab9d799c5ee53bbf1151d39f6960c3ba859,424,develop,errored,461,2020-07-24 21:23:53 UTC,711597733,711597734,711597735,711597736,711597737,pull_request
711362063,90d619234c0e725d0ee04ffa6fd7e93ba12d7597,,develop,passed,567,2020-07-24 06:22:16 UTC,711362064,711362065,711362066,711362067,711362068,push
711301455,c4e85d803b74b11cdb33c458784a1667b590db70,422,develop,passed,893,2020-07-24 00:18:34 UTC,711301456,711301457,711301458,711301459,711301460,pull_request
708306890,3a259fa375b3acea0de9848ee8df858e71647380,,develop,passed,531,2020-07-15 11:41:02 UTC,708306891,708306892,708306893,708306894,708306895,push
708306832,444b3ef623207edb3c10e936f00529b8f63736f2,421,develop,errored,159,2020-07-15 11:40:22 UTC,708306833,708306834,708306835,708306836,708306837,pull_request
708254134,40d25cae4f7f499ea9f6ac07f4919311c88f5691,,develop,passed,513,2020-07-15 07:55:43 UTC,708254135,708254136,708254137,708254138,708254139,push
708253979,d56c443fc07bffdcfc5821f1a98d12c4bc9502dd,,develop,canceled,0,,708253980,708253981,708253982,708253983,708253984,push
708253950,92eafdc727f6dd9a6b67a0eb276e3ab6ea6b0cb1,420,develop,errored,179,2020-07-15 07:54:50 UTC,708253951,708253952,708253953,708253954,708253955,pull_request
708229130,9e81cb0d471c8b68b1f62416a148f7b511577439,419,develop,passed,524,2020-07-15 05:48:21 UTC,708229131,708229132,708229133,708229134,708229135,pull_request
707976769,96bc0ec4e08438831e8e3e677aa1de9906905750,419,develop,passed,500,2020-07-14 13:22:58 UTC,707976770,707976771,707976772,707976773,707976774,pull_request
707966772,a2c1a78ea12a42c390aff210f6e13df2ebe0655c,419,develop,passed,503,2020-07-14 12:46:18 UTC,707966773,707966774,707966775,707966777,707966778,pull_request
707935896,a12d016b57f1851de3dde135031ecd5cef4b4a72,419,develop,passed,514,2020-07-14 10:27:24 UTC,707935897,707935898,707935899,707935900,707935901,pull_request
706627720,bfbc29027ed991f227492452612fd94996ff1786,,v3.3.6,passed,724,2020-07-09 18:28:44 UTC,706627721,706627722,706627723,706627724,706627725,push
706626845,bfbc29027ed991f227492452612fd94996ff1786,,develop,passed,493,2020-07-09 18:26:10 UTC,706626846,706626847,706626848,706626851,706626856,push
706098647,87d46b9143b566dbc32f18ea790e28ec81345318,,develop,passed,500,2020-07-08 09:45:45 UTC,706098648,706098649,706098650,706098651,706098652,push
706098569,268107d2d0c4953d67a05701df209786db5c048e,416,develop,errored,161,2020-07-08 09:45:05 UTC,706098570,706098571,706098572,706098573,706098574,pull_request
706067180,3c89462105d8a8ced43608190f184197011cc71c,,develop,passed,507,2020-07-08 07:30:17 UTC,706067181,706067182,706067183,706067184,706067185,push
706067141,c1d324a5eb06d9cc1197dbdc736d12fe54e4b97b,415,develop,errored,164,2020-07-08 07:29:34 UTC,706067142,706067143,706067144,706067145,706067146,pull_request
704208115,b16704582d742965949553a8020d990807cd3391,,develop,passed,501,2020-07-02 06:10:48 UTC,704208116,704208117,704208118,704208119,704208120,push
704208101,9e22f2df36b314e10a99de4afcd98dc292d4393a,412,develop,errored,181,2020-07-02 06:10:07 UTC,704208102,704208103,704208104,704208105,704208106,pull_request
703831088,6b2b9377317e0dd85cb792a8e9efc5fbb95c8f6b,,develop,passed,496,2020-07-01 08:43:31 UTC,703831089,703831090,703831091,703831092,703831093,push
703830954,d44e16bc94e716eb483457b3ddf17d6e50b81152,411,develop,errored,145,2020-07-01 08:42:49 UTC,703830955,703830956,703830957,703830958,703830959,pull_request
702327458,c4893c3d9f88e6658e2dcdc8bbdba766e1ab646b,409,master,passed,727,2020-06-26 10:23:05 UTC,702327459,702327460,702327461,702327462,702327463,pull_request
702067442,017abc319768656a619073593168b407f62e208c,,develop,passed,511,2020-06-25 15:01:31 UTC,702067443,702067444,702067445,702067446,702067447,push
702067427,45700b3525ef1f370d4b719fe18746ae9dc2f1e5,408,develop,errored,150,2020-06-25 15:00:50 UTC,702067428,702067429,702067430,702067431,702067432,pull_request
701619968,20b5b35ea2a2bdf8092d450fd5c80392b4720634,,develop,passed,509,2020-06-24 12:02:40 UTC,701619969,701619970,701619971,701619972,701619973,push
701619812,457f24377b85d537b2095776aa11363eae7bdce6,407,develop,errored,203,2020-06-24 12:01:57 UTC,701619813,701619814,701619815,701619816,701619817,pull_request
701409394,ea09c57b10554292a88f355ba2cb86067bd861aa,,develop,passed,498,2020-06-23 20:12:10 UTC,701409395,701409396,701409397,701409398,701409399,push
701409327,3321d6e7affaf26731806ba8d48c09d182a62301,405,develop,errored,149,2020-06-23 20:11:26 UTC,701409328,701409329,701409330,701409331,701409332,pull_request
701408845,5dfc65de551ef2f66b257325440d25dd92ab3705,404,master,errored,148,2020-06-23 20:09:53 UTC,701408846,701408847,701408848,701408849,701408850,pull_request
701408402,7f7ac7c1b9d88e082a78e3cd5ae24051a7eb34d7,404,master,errored,150,2020-06-23 20:08:02 UTC,701408403,701408404,701408405,701408406,701408407,pull_request
699775176,f958de3f77011b0332ad1fed53b6198d3c7fe7d5,,develop,passed,744,2020-06-18 16:21:32 UTC,699775177,699775178,699775179,699775180,699775181,push
699774948,f491b0a6f1f30f51d2d3fa23fdaf7995d57ac1d6,,develop,canceled,0,,699774949,699774950,699774951,699774952,699774953,push
699774106,41a07e2a0cd71a9e2198098be8b36755d009cb26,403,develop,passed,773,2020-06-18 16:18:48 UTC,699774107,699774108,699774109,699774110,699774111,pull_request
698070899,76057e71e41036e1354d262576b5856a3155a28c,402,master,passed,741,2020-06-13 22:16:00 UTC,698070900,698070901,698070902,698070903,698070904,pull_request
677512641,488a1bfa33aacdf3446ab7a5326e96d3beb8ef40,394,develop,passed,643,2020-04-21 01:29:54 UTC,677512642,677512643,677512644,677512645,677512646,pull_request
675339831,2c378872d9ce70a3407a178af448527c730f249e,,v3.3.4,passed,784,2020-04-15 14:49:32 UTC,675339832,675339833,675339834,675339835,675339836,push
675339354,2c378872d9ce70a3407a178af448527c730f249e,,develop,passed,564,2020-04-15 14:47:24 UTC,675339355,675339356,675339357,675339358,675339359,push
675339260,c57b1316d936186599fa739e8473319dd0bfb663,392,develop,errored,137,2020-04-15 14:46:42 UTC,675339261,675339262,675339263,675339264,675339265,pull_request
675336661,c1d9bbaa453553f2a22ff1ae1649d9e6409c020a,,develop,passed,605,2020-04-15 14:41:28 UTC,675336662,675336663,675336664,675336665,675336666,push
675336624,a15853f6f82742942db4ede8036be5be987447a6,391,develop,errored,146,2020-04-15 14:40:45 UTC,675336625,675336626,675336627,675336628,675336629,pull_request
675080876,3ca743d028da19df4f4d67578b21124ea2cee63e,,develop,passed,586,2020-04-14 23:32:39 UTC,675080877,675080878,675080879,675080880,675080881,push
675080803,cf40bd096ddae91cab70a4c697b934ba5696af4f,390,develop,errored,145,2020-04-14 23:31:56 UTC,675080804,675080805,675080806,675080807,675080808,pull_request
674489261,d1ab859c25a6d2bd923ef9ed38b658327b556293,,develop,passed,579,2020-04-13 16:35:57 UTC,674489262,674489263,674489264,674489265,674489266,push
674489218,be9a850881367d53a19f6440865f2afefb55e0cf,389,develop,errored,178,2020-04-13 16:35:13 UTC,674489219,674489220,674489221,674489222,674489223,pull_request
674470779,f32a2b2dc682e1b0260753dc401b6f3df5c3a1ad,,develop,passed,606,2020-04-13 15:50:13 UTC,674470781,674470782,674470783,674470784,674470785,push
674470629,abdfd071ac89633614655f35088e41eaf235e8ba,388,develop,errored,175,2020-04-13 15:49:29 UTC,674470630,674470631,674470632,674470633,674470634,pull_request
673697536,2e5b28171caeb8e0fadcdb938279bdae24664699,,develop,passed,587,2020-04-11 06:46:54 UTC,673697537,673697538,673697539,673697541,673697543,push
673488517,05b09bba261d55ae4305560c72421b2499265f32,387,develop,passed,607,2020-04-10 16:15:01 UTC,673488518,673488519,673488520,673488521,673488522,pull_request
671709002,22c506e69e056ccc0d92f4902fbd0b914881c991,,develop,passed,584,2020-04-06 15:53:36 UTC,671709003,671709004,671709005,671709006,671709007,push
671708898,7938acc62c899930f66a50fbda5b9943cd62fd6f,383,develop,errored,175,2020-04-06 15:52:49 UTC,671708899,671708900,671708901,671708902,671708903,pull_request
670298120,5fc1a0673ff03fb6c626cbaa3fd98c86e342b478,,develop,passed,622,2020-04-02 19:50:31 UTC,670298121,670298122,670298123,670298124,670298125,push
670297960,c4bc5d0553909ef22136aa01bb096f2ec1cbc15e,378,develop,errored,153,2020-04-02 19:49:47 UTC,670297961,670297962,670297963,670297964,670297965,pull_request
669567834,9c5959d5618a9d962835e586df0b664701695c80,,develop,passed,587,2020-04-01 07:10:00 UTC,669567835,669567836,669567837,669567838,669567839,push
669567738,3902dd8d78101b5a8491a042bc2ae74b654ef0fa,377,develop,errored,156,2020-04-01 07:09:17 UTC,669567739,669567740,669567741,669567742,669567743,pull_request
668497818,9704f19024d6e012864144f1de64749b8793b12a,,v3.3.3,passed,857,2020-03-29 21:33:20 UTC,668497819,668497820,668497821,668497822,668497823,push
668496728,9704f19024d6e012864144f1de64749b8793b12a,,develop,passed,593,2020-03-29 21:28:52 UTC,668496729,668496730,668496731,668496732,668496733,push
668496615,8e9d11eeab61e7ae4062846048ddc3c61b10481d,374,develop,errored,169,2020-03-29 21:28:09 UTC,668496616,668496617,668496618,668496619,668496620,pull_request
668111485,f4a00fd2a926fc79486320e9f568fbe080e99cb7,,develop,passed,792,2020-03-28 16:19:08 UTC,668111486,668111487,668111488,668111489,668111490,push
668111015,2de52ce6c4b0de1f9554ba4a419f514af405f072,,develop,passed,484,2020-03-28 16:17:17 UTC,668111016,668111017,668111018,668111019,668111020,push
668110956,11a1dcdbe14f283e7ce527b23d37c2564ef5676e,373,develop,errored,176,2020-03-28 16:16:29 UTC,668110957,668110958,668110959,668110960,668110961,pull_request
667461459,9c7db335425994252c0a27d7abdcaa2fe7a98ebb,372,develop,passed,869,2020-03-26 21:48:50 UTC,667461460,667461461,667461462,667461463,667461464,pull_request
667115158,57ef53f4977fccda290d5c55f27fec6c0df1222b,,develop,passed,534,2020-03-26 06:17:34 UTC,667115159,667115160,667115161,667115162,667115163,push
667044877,7832557babafec6ab9fd4e2fa2967986d2dafebc,371,develop,passed,521,2020-03-26 00:18:39 UTC,667044878,667044879,667044880,667044881,667044882,pull_request
666985855,471f66b632298cd340e26c721bad9846df92e1f0,,v3.3.2,passed,524,2020-03-25 21:12:53 UTC,666985856,666985857,666985858,666985859,666985860,push
666985165,471f66b632298cd340e26c721bad9846df92e1f0,,develop,passed,505,2020-03-25 21:10:50 UTC,666985166,666985167,666985168,666985169,666985170,push
