build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
141169611,64f6005f6b41ea8d70e4c0b00a1b204bce997c4d,,master,errored,37,2016-06-29 19:36:01 UTC,141169616,push
141169456,0740c9ff2e8c8e5f5cf5a92e6332f30b6ae31f58,,master,errored,37,2016-06-29 19:35:27 UTC,141169460,push
141169224,372b4973b95cc66317e968f84527de84cc8144ae,,master,errored,37,2016-06-29 19:33:19 UTC,141169235,push
82999223,410c8505dd9744bd7ec85b35ee0cc08e409b1296,345,master,passed,1289,2015-10-01 02:54:15 UTC,82999224,82999225,82999226,82999227,82999228,82999229,82999230,82999231,82999232,82999233,82999234,82999235,82999236,82999237,82999238,82999239,82999240,82999241,pull_request
81898217,817fda416fd10a3f80d23edd1ebeb9cee67710ab,342,master,passed,1273,2015-09-24 03:18:05 UTC,81898218,81898219,81898220,81898221,81898222,81898223,81898224,81898225,81898226,81898227,81898228,81898229,81898230,81898231,81898232,81898233,81898234,81898235,pull_request
81888503,c4831e1bd21292a77ac015f3ba93e5bd6bfb0770,343,master,failed,1205,2015-09-24 01:25:46 UTC,81888507,81888508,81888509,81888510,81888511,81888512,81888513,81888514,81888515,81888516,81888517,81888518,81888519,81888520,81888521,81888522,81888523,81888524,pull_request
81814379,5772d14105717db445764fc956a198f9d4536982,342,master,failed,1528,2015-09-23 17:12:19 UTC,81814380,81814383,81814384,81814385,81814386,81814387,81814388,81814389,81814390,81814391,81814392,81814393,81814394,81814395,81814396,81814397,81814399,81814401,pull_request
81808552,aff99463441cf29fb39ea0e8676684fa51a7b606,342,master,failed,1342,2015-09-23 16:36:56 UTC,81808553,81808554,81808555,81808556,81808557,81808558,81808559,81808560,81808561,81808562,81808563,81808564,81808565,81808566,81808567,81808568,81808569,81808571,pull_request
79012309,1a132428341aa4d21d2a16911304c21f4ea26fa4,,master,failed,1137,2015-09-06 16:20:20 UTC,79012310,79012311,79012312,79012313,79012314,79012315,79012316,79012317,79012318,79012319,79012321,79012324,79012325,79012326,79012327,79012328,79012329,79012330,push
79011420,32b2b627f9520036ab67cacba64d2d023c238cb6,,master,failed,1126,2015-09-06 16:10:35 UTC,79011421,79011422,79011423,79011424,79011425,79011426,79011427,79011428,79011429,79011430,79011433,79011435,79011436,79011437,79011438,79011447,79011448,79011450,push
78964785,8434657f314db16dee2c4b969355d2d823baf42e,335,master,failed,1102,2015-09-06 05:12:36 UTC,78964786,78964787,78964788,78964789,78964790,78964791,78964792,78964793,78964794,78964795,78964796,78964797,78964798,78964799,78964800,78964801,78964802,78964803,pull_request
74891226,eb13a9f8d9de59ef711c02ecd2daa858081e15ec,331,master,failed,1484,2015-08-10 10:14:10 UTC,74891227,74891228,74891229,74891230,74891231,74891232,74891233,74891234,74891235,74891236,74891237,74891238,74891239,74891240,74891241,74891242,74891243,74891244,pull_request
70060276,a66b55a72833b19ac0ffb240afb37c86c0227582,,master,failed,1747,2015-07-08 14:01:37 UTC,70060277,70060278,70060279,70060280,70060281,70060284,70060285,70060286,70060287,70060288,70060289,70060290,70060291,70060292,70060293,70060294,70060295,70060296,push
70059862,0c6223369f6185dc3bb5c7961409eb265a6740fa,,v0.3.7,passed,1514,2015-07-08 13:52:40 UTC,70059863,70059864,70059867,70059869,70059871,70059872,70059876,70059878,70059880,70059881,70059882,70059886,70059892,70059895,70059897,70059899,70059901,70059906,push
70059823,0c6223369f6185dc3bb5c7961409eb265a6740fa,,master,failed,1454,2015-07-08 13:29:12 UTC,70059824,70059825,70059826,70059827,70059828,70059829,70059830,70059831,70059832,70059833,70059834,70059835,70059836,70059837,70059838,70059839,70059840,70059841,push
70024099,255f6611109400894a716002c8cb08a27e36bdde,329,master,passed,1366,2015-07-08 08:19:59 UTC,70024100,70024101,70024102,70024105,70024106,70024108,70024112,70024115,70024119,70024121,70024122,70024124,70024126,70024127,70024128,70024129,70024130,70024131,pull_request
69688471,148b9e9853766f7b7f24fe311987100c19be064e,,master,passed,1591,2015-07-06 07:16:51 UTC,69688472,69688473,69688474,69688475,69688476,69688477,69688478,69688479,69688480,69688481,69688482,69688484,69688488,69688490,69688492,69688494,69688496,69688498,push
69620198,e0e5200f3f36cd40f0f8f17872ca642ba6434fd6,,master,failed,1721,2015-07-05 15:22:08 UTC,69620199,69620201,69620203,69620204,69620207,69620209,69620210,69620211,69620213,69620215,69620216,69620217,69620218,69620219,69620220,69620221,69620222,69620224,push
69620069,6a4c94a35e89ef8a632a695206d9cc2fd5630696,,master,failed,1347,2015-07-05 15:17:43 UTC,69620070,69620071,69620072,69620073,69620074,69620075,69620076,69620077,69620078,69620079,69620080,69620081,69620082,69620083,69620084,69620085,69620086,69620087,push
69619226,bffddd8fa59d0d856d9881c64887ba5c4509b67c,,v0.3.6,failed,1454,2015-07-05 15:03:08 UTC,69619227,69619228,69619229,69619230,69619231,69619232,69619233,69619234,69619235,69619236,69619237,69619238,69619239,69619240,69619241,69619242,69619243,69619244,push
69619201,bffddd8fa59d0d856d9881c64887ba5c4509b67c,,master,failed,1378,2015-07-05 14:48:27 UTC,69619202,69619203,69619204,69619205,69619206,69619207,69619208,69619209,69619210,69619211,69619212,69619213,69619214,69619215,69619216,69619217,69619218,69619219,push
69618145,018f7e9bde229201a839b1865cbbe5efeb1b650f,,master,failed,1295,2015-07-05 14:44:34 UTC,69618146,69618157,69618165,69618168,69618170,69618171,69618173,69618176,69618178,69618179,69618180,69618181,69618182,69618183,69618184,69618185,69618186,69618187,push
69617985,f05be4d4c5dcb442768df66f1b9e0210ae6ad776,,master,failed,1501,2015-07-05 14:29:57 UTC,69617986,69617987,69617988,69617989,69617990,69617991,69617992,69617993,69617994,69617995,69617996,69617997,69617998,69618000,69618002,69618003,69618004,69618005,push
69617580,9c76974bbf4389977bff7b9a389973c3df6d3ce6,,master,failed,1321,2015-07-05 14:23:36 UTC,69617581,69617582,69617583,69617584,69617585,69617586,69617587,69617591,69617592,69617593,69617594,69617595,69617596,69617597,69617598,69617599,69617600,69617601,push
69617241,de4e3fa44c5444797a4cda573209a134694b18f5,,master,failed,1283,2015-07-05 14:09:47 UTC,69617243,69617244,69617245,69617250,69617253,69617256,69617259,69617262,69617263,69617264,69617265,69617266,69617267,69617268,69617269,69617270,69617271,69617273,push
69613648,e75aad06d7323c795501cc6fa670f83b59ff8bed,,master,failed,1310,2015-07-05 13:14:16 UTC,69613649,69613650,69613651,69613652,69613653,69613654,69613655,69613656,69613657,69613658,69613659,69613660,69613661,69613662,69613663,69613664,69613665,69613666,push
