build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
280558844,a926ec463f4938b396c3cf2f5657833930cfb998,,master,errored,1674,2017-09-27 18:41:19 UTC,280558847,280558848,280558849,280558853,280558854,280558855,280558856,280558857,280558858,280558859,280558866,280558874,push
280558062,95f675d55a652f01321299e20b8005bd79c75778,,master,errored,1667,2017-09-27 18:37:04 UTC,280558063,280558064,280558065,280558068,280558070,280558071,280558072,280558073,280558074,280558075,280558076,280558077,push
280161992,180f1ec603e5c5237537b7db9f339b8e1f5da665,,master,passed,3228,2017-09-26 21:32:09 UTC,280161993,280161994,280161995,280161996,280161997,280161998,280161999,280162000,280162001,280162002,280162003,280162004,cron
279704717,180f1ec603e5c5237537b7db9f339b8e1f5da665,,master,passed,2689,2017-09-25 21:31:45 UTC,279704718,279704719,279704720,279704721,279704722,279704723,279704724,279704725,279704726,279704727,279704728,279704729,cron
279305889,180f1ec603e5c5237537b7db9f339b8e1f5da665,,master,passed,2418,2017-09-24 21:31:39 UTC,279305890,279305891,279305892,279305893,279305894,279305895,279305896,279305897,279305898,279305899,279305901,279305903,cron
279048942,180f1ec603e5c5237537b7db9f339b8e1f5da665,,master,passed,2330,2017-09-23 21:31:15 UTC,279048943,279048944,279048945,279048946,279048947,279048948,279048949,279048950,279048951,279048952,279048953,279048954,cron
278704494,180f1ec603e5c5237537b7db9f339b8e1f5da665,,master,passed,2833,2017-09-22 17:13:00 UTC,278704495,278704496,278704497,278704498,278704499,278704500,278704501,278704502,278704503,278704504,278704508,278704510,push
278703576,b9d73b95ab4d557d26765c48ced0a129ce7a875d,,master,passed,2814,2017-09-22 17:08:30 UTC,278703578,278703580,278703585,278703587,278703588,278703590,278703594,278703595,278703596,278703597,278703598,278703599,push
278295106,b3b7da54107e9d1ca43b43805176d564c10bed98,,master,passed,2658,2017-09-21 18:47:47 UTC,278295107,278295108,278295109,278295110,278295111,278295112,278295113,278295114,278295115,278295116,278295117,278295118,push
278294046,77e7120478e9733ef478b5f30540dc840f0116dd,,master,passed,2641,2017-09-21 17:51:19 UTC,278294047,278294049,278294050,278294051,278294052,278294053,278294054,278294055,278294056,278294057,278294058,278294059,push
278120616,f7f6fdfb414b4ad1f5591f11f9f2ecf4ae539311,1203,master,passed,2505,2017-09-21 10:09:11 UTC,278120617,278120618,278120619,278120620,278120621,278120622,278120623,278120624,278120625,278120628,278120629,278120630,pull_request
277954860,4b22603039d07715769b1e1b0c81eab8c387f0b3,,master,passed,2709,2017-09-20 21:30:40 UTC,277954861,277954862,277954863,277954864,277954865,277954866,277954867,277954868,277954869,277954870,277954871,277954872,cron
277570023,fe692111515f377da1433bbeae7f3767eb796b85,1200,master,passed,2704,2017-09-20 02:22:54 UTC,277570024,277570025,277570026,277570027,277570028,277570029,277570030,277570031,277570032,277570033,277570034,277570035,pull_request
277505664,4b22603039d07715769b1e1b0c81eab8c387f0b3,,master,passed,2320,2017-09-19 21:30:00 UTC,277505665,277505666,277505667,277505668,277505669,277505670,277505671,277505672,277505673,277505674,277505675,277505676,cron
277213309,b0df75f81619087ae38b925575374ef8b48c9706,1202,master,passed,2619,2017-09-19 09:03:03 UTC,277213310,277213311,277213312,277213313,277213314,277213315,277213316,277213319,277213320,277213322,277213324,277213325,pull_request
