build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
748262900,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,dev-zsx_test,canceled,0,,748262901,748262902,748262903,748262904,748262905,748262906,748262907,748262908,748262909,push
745836039,f513da6c6c204c3d9c7f090acd465f970e9851a1,,dev-zsx,failed,17648,2020-11-25 10:03:42 UTC,745836040,745836041,745836042,745836043,745836044,745836045,745836046,745836047,745836048,push
745802359,34c3cb4b131432edbc7f19607fe0769b040edbc7,,dev-zsx,failed,17888,2020-11-25 05:36:22 UTC,745802360,745802361,745802362,745802363,745802364,745802365,745802366,745802367,745802368,push
745635304,52cd0112820d17661d69b1062bd46faa4c87e8b4,,dev-zsx,failed,17599,2020-11-24 14:01:18 UTC,745635305,745635306,745635307,745635308,745635309,745635310,745635311,745635312,745635313,push
745631311,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,dev-zsx,canceled,0,,745631312,745631313,745631314,745631315,745631316,745631317,745631318,745631319,745631320,push
744710927,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,master,failed,18318,2020-11-19 19:12:25 UTC,744710928,744710929,744710930,744710931,744710932,744710933,744710934,744710936,744710937,cron
737905312,12fc67525030633d93a40071987361250de05554,,dev,passed,22354,2020-10-22 03:16:17 UTC,737905313,737905314,737905315,737905316,737905317,737905318,737905319,737905320,737905321,push
737667313,76d873e71a4a7245524717112a869c4f32c55ba4,,transform_densefeat,passed,22201,2020-10-21 09:40:56 UTC,737667314,737667315,737667316,737667317,737667318,737667319,737667320,737667321,737667322,push
737152028,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,master,passed,22200,2020-10-19 17:37:32 UTC,737152029,737152030,737152031,737152032,737152033,737152034,737152035,737152036,737152037,cron
736602500,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,dev,passed,22342,2020-10-17 11:15:21 UTC,736602501,736602502,736602503,736602504,736602505,736602506,736602507,736602508,736602509,push
734740117,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,v0.8.2,passed,22106,2020-10-11 16:57:04 UTC,734740118,734740119,734740120,734740121,734740122,734740123,734740124,734740125,734740126,push
734733028,e9c8f08f861293d5dc2f4e005b7b6ed47125ef17,,master,passed,23189,2020-10-11 15:25:59 UTC,734733029,734733030,734733031,734733032,734733033,734733034,734733035,734733036,734733037,push
734729213,712ed8c72f4dd43983e58c4ea8637465c076e728,,dev,passed,22342,2020-10-11 14:00:54 UTC,734729214,734729215,734729216,734729217,734729218,734729219,734729220,734729221,734729222,push
734727732,9c2ea928d68ec8eee8c40e3647d048e6c42aad0b,,dev,passed,21785,2020-10-11 12:41:56 UTC,734727733,734727734,734727735,734727736,734727737,734727738,734727739,734727740,734727741,push
734711491,df77b0968327ae66bcf016801b5c87d8875d0401,,dev,passed,22194,2020-10-11 10:18:48 UTC,734711492,734711493,734711494,734711495,734711496,734711497,734711498,734711499,734711500,push
730524625,3135ec007ce247954289ec51750a099002c4c4ed,,dev,passed,22094,2020-09-26 18:49:27 UTC,730524626,730524627,730524628,730524629,730524630,730524631,730524632,730524633,730524634,push
730524303,1bde46c3d627d48d62b7fab148b42541ffbdb002,,dependabot/pip/docs/tensorflow-1.15.4,passed,22324,2020-09-26 17:20:23 UTC,730524305,730524306,730524307,730524309,730524311,730524312,730524314,730524315,730524316,push
730524192,f9b07e459970f7f22ca36102ee3acc0a6dfece2f,,master,passed,22318,2020-09-26 15:55:10 UTC,730524193,730524194,730524195,730524196,730524197,730524198,730524199,730524200,730524201,push
730504030,35dabcda6dd3e4cb2b516ba6ce1c76df2bb6e7f5,,dev,passed,22462,2020-09-26 14:32:43 UTC,730504031,730504032,730504033,730504034,730504035,730504036,730504037,730504038,730504039,push
730483480,3bb84b37f699581e2f7f3c15f5018b8828e9d0dc,,dev,passed,22317,2020-09-26 11:48:22 UTC,730483481,730483482,730483483,730483484,730483485,730483486,730483487,730483488,730483489,push
730481958,42d0ff61d55375d7913f09dc4266a03964419438,,dev,canceled,0,,730481959,730481960,730481961,730481962,730481963,730481964,730481965,730481966,730481967,push
730477608,f75f6eeae632ab712083290b479df49147219a75,,dev,passed,21788,2020-09-26 10:30:31 UTC,730477609,730477610,730477611,730477612,730477613,730477614,730477615,730477616,730477617,push
730409630,6971d076f06a22162d6607be4c0d74310aace690,,dependabot/pip/docs/tensorflow-1.15.4,passed,21809,2020-09-25 23:06:44 UTC,730409631,730409632,730409633,730409634,730409635,730409636,730409637,730409638,730409639,push
728609699,7ab8bc6a70982aa79c36c20678c98becb7f291b1,,master,passed,22752,2020-09-19 17:31:48 UTC,728609701,728609702,728609703,728609704,728609705,728609706,728609707,728609708,728609709,cron
726481542,e413dc5aba149470370d1ded2fd9f1d369a913c9,,dev,passed,22011,2020-09-12 04:00:13 UTC,726481543,726481544,726481545,726481546,726481547,726481548,726481549,726481550,726481551,push
726461290,7ab8bc6a70982aa79c36c20678c98becb7f291b1,,v0.8.1,passed,22430,2020-09-12 02:37:30 UTC,726461291,726461292,726461293,726461294,726461295,726461296,726461297,726461298,726461299,push
726460291,69ab4921b7e012b668e24c68482f71284a81e64a,,dependabot/pip/docs/tensorflow-1.15.2,passed,21902,2020-09-12 01:25:14 UTC,726460292,726460293,726460294,726460295,726460296,726460297,726460298,726460299,726460300,push
726460106,7ab8bc6a70982aa79c36c20678c98becb7f291b1,,master,passed,22489,2020-09-12 00:34:40 UTC,726460107,726460108,726460109,726460110,726460111,726460112,726460113,726460114,726460115,push
726337533,77013072338ad972771cc030aa1c8b51a237bc41,,dev,passed,22526,2020-09-11 16:13:02 UTC,726337534,726337535,726337536,726337537,726337538,726337539,726337540,726337541,726337542,push
726297263,f5006d49960343dc5935764272f1b3845b75a1b8,,dev,passed,21971,2020-09-11 14:57:08 UTC,726297264,726297265,726297266,726297267,726297268,726297269,726297270,726297271,726297272,push
726295359,23cd1f6f6b1b26aa5cd1aea45cf8800d397f7304,,dev,canceled,0,,726295361,726295364,726295365,726295366,726295368,726295369,726295370,726295371,726295372,push
726285971,a175ee35f68d95a79342180f4c1827cb81327bd4,,dev,canceled,0,,726285972,726285973,726285974,726285975,726285976,726285977,726285978,726285979,726285980,push
726284082,fe7920bf8522d7cbabce357d1c46b3baf861f195,,dev,passed,22390,2020-09-11 14:04:45 UTC,726284083,726284084,726284085,726284086,726284087,726284088,726284089,726284090,726284091,push
726252453,b751e95ae33f151c2b6c3de18f3a979045456fec,,dev,passed,22312,2020-09-11 12:10:13 UTC,726252454,726252455,726252456,726252457,726252458,726252459,726252460,726252461,726252462,push
726231710,34e62074a11dfd464cec8e2a7759f091d5f822f4,,dev,passed,21834,2020-09-11 10:47:29 UTC,726231711,726231712,726231713,726231714,726231715,726231716,726231717,726231718,726231719,push
725907514,c264593b860c0f4d9331e88d0d465befdb3ed88c,,dev,passed,22091,2020-09-10 12:23:48 UTC,725907515,725907516,725907517,725907518,725907519,725907520,725907521,725907522,725907523,push
725896564,e7f3ba2e6fe840c02a0d04ae23af7efa3071c1c0,,dev,failed,22252,2020-09-10 11:33:25 UTC,725896565,725896566,725896567,725896568,725896569,725896570,725896571,725896572,725896573,push
725648165,2c51dbb16e5cb492914198aeb37df8351919a236,,dev,failed,21125,2020-09-09 16:31:55 UTC,725648166,725648167,725648168,725648169,725648170,725648171,725648172,725648173,725648174,push
725629635,9fce3beeed3325ccdda84eb273563df63ba4a99a,,dev,failed,20349,2020-09-09 15:28:49 UTC,725629636,725629637,725629638,725629639,725629640,725629641,725629642,725629643,725629644,push
725607932,bf4695a1555f86806ab6ff47c219f966860a344c,,dev,canceled,0,,725607933,725607934,725607935,725607936,725607937,725607938,725607939,725607940,725607941,push
725600488,799dad581db299d7f94d06844bc8d99080bfe428,,dev,canceled,0,,725600489,725600490,725600491,725600492,725600493,725600494,725600495,725600496,725600497,push
725579864,db78bcdfa84df9da1eedf6e4fda04816288f80be,,dev,failed,21110,2020-09-09 14:12:38 UTC,725579865,725579866,725579867,725579868,725579869,725579870,725579871,725579872,725579873,push
