build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
645245799,f67840ea5bea011c9afb0783560d853dfe37c9ff,945,master,passed,145,2020-02-03 01:27:36 UTC,645245800,pull_request
633729832,7159616642e0be7c5b3ef380b848e16b7e99355b,,master,passed,134,2020-01-07 11:48:54 UTC,633729833,push
633700778,2868d13459ae8c560c84c4336e94a1ecac31928e,944,master,passed,144,2020-01-07 10:26:55 UTC,633700779,pull_request
628997807,1db5572aa4bac6c40fd811c51dd63f1b6ad57dcf,,master,passed,138,2019-12-24 06:01:55 UTC,628997808,push
628002266,8be56f052810747946e12a32e63afdb376b4af98,838,master,passed,142,2019-12-21 03:43:51 UTC,628002267,pull_request
626026328,456fad18bb0cfacc7fbc1fb7588f369c8b039abb,,master,passed,156,2019-12-17 05:04:07 UTC,626026329,push
626009773,3038a31df581295ad93f4aecf7e8189764eaf79d,942,master,passed,162,2019-12-17 03:54:07 UTC,626009774,pull_request
626008381,f40a5c0c886f7468fbdd99c1f53be31d6fa4b354,942,master,passed,163,2019-12-17 03:47:40 UTC,626008382,pull_request
626006732,bd44366fc671791ebf96bac62c8d91903e65514d,942,master,passed,131,2019-12-17 03:38:55 UTC,626006733,pull_request
622975354,e60412ea897a86ca8d1be2b5fc4f5ab5f7726fa9,793,master,failed,57,2019-12-10 01:38:20 UTC,622975355,pull_request
622975114,77672294458e615ddaae34aa409da075242904d3,,eval-point-coco,failed,59,2019-12-10 01:37:28 UTC,622975115,push
622528312,fa5981a646d1639b282f036e89cc52323de88e4a,,master,passed,132,2019-12-09 07:42:52 UTC,622528313,push
622516300,ba1d13d03827691b9bc395a72470c315a651fae8,940,master,passed,168,2019-12-09 07:08:55 UTC,622516301,pull_request
604220931,bdb89ba9bf4853b04b59ec562b7b5dcb3df074f9,935,master,passed,290,2019-10-29 01:28:37 UTC,604220932,604220933,pull_request
603749966,7b0fa762e78b0a5673c7fd185a8e30d1a17d2c47,935,master,passed,278,2019-10-28 06:12:48 UTC,603749967,603749968,pull_request
603749963,7b0fa762e78b0a5673c7fd185a8e30d1a17d2c47,935,master,canceled,0,,603749964,603749965,pull_request
602608529,9372bb6dfabe8a1fa92983939443dd37745ddfc7,935,master,passed,290,2019-10-25 02:14:12 UTC,602608530,602608531,pull_request
599434358,01fc3693d68660fd9097ca54726b88f9f8279f68,935,master,passed,289,2019-10-18 01:59:30 UTC,599434359,599434360,pull_request
595768017,b19b26759d67fe001d9cd498302f44fd65bbbba8,934,master,passed,297,2019-10-09 18:52:24 UTC,595768018,595768019,pull_request
595362578,55d34c07cbbd03642b71d375db579433859bd00e,,master,passed,302,2019-10-08 23:02:17 UTC,595362579,595362580,push
595274675,3ac501108bd03a7c4f6ea1e60cf80e5d75454d2c,933,master,failed,218,2019-10-08 19:24:42 UTC,595274676,595274677,pull_request
593619840,af1bd08c686d78bd56b4ac90c460a2cda675a419,931,master,passed,296,2019-10-04 15:58:32 UTC,593619841,593619842,pull_request
591673652,36239be4a71d5d8b10518d3ab0ce3f03fbac4b6b,929,master,passed,291,2019-09-30 20:10:02 UTC,591673653,591673654,pull_request
591618473,fa6595f4e964cce5dbd228b8df816580f085d8b7,928,master,passed,290,2019-09-30 17:53:39 UTC,591618474,591618475,pull_request
591614620,911a68d970f562d881dc025c18e4f41f6206c179,928,master,failed,308,2019-09-30 17:43:14 UTC,591614621,591614622,pull_request
590969939,d295477e6f929d7a538aa12e636022dd704cf10a,,master,passed,300,2019-09-29 01:59:35 UTC,590969940,590969941,push
590520303,40ce7c187d496b3c7e38e890e25758fe1ddc9356,927,master,passed,291,2019-09-27 17:27:02 UTC,590520304,590520305,pull_request
583075270,ca45a7ff2f1f6fb45fbc431c8b5bb0f8d646be0f,,master,passed,272,2019-09-10 09:23:36 UTC,583075271,583075272,push
582982949,c7ce24c39549d11e05c32a194d0151a31c6c47be,925,master,passed,270,2019-09-10 03:41:54 UTC,582982950,582982951,pull_request
582725907,e9320c7718217d5eec5f4ab0a40bf70cf694107a,,master,passed,277,2019-09-09 14:54:12 UTC,582725909,582725910,push
582539276,3b162b55612d2a7e64f0166d1877bc5ffcdeeda5,924,master,passed,283,2019-09-09 06:52:05 UTC,582539277,582539278,pull_request
580013973,6d95cadd13855c4e1491a9e12c7d67a5868b7c15,,master,passed,270,2019-09-02 23:51:25 UTC,580013974,580013975,push
579992441,a4f8af56bb220282e2cf0f6849ffedf1df75623b,923,master,passed,308,2019-09-02 22:05:35 UTC,579992442,579992443,pull_request
579991956,7efb883bc326b87e4675cb37222ab77d8d6c1a10,,soskek-patch-1,passed,279,2019-09-02 22:03:31 UTC,579991959,579991961,push
579698743,59c8534c16b05f767b577b30f09d9f737ec6f3e8,,master,passed,270,2019-09-02 08:46:49 UTC,579698744,579698745,push
578757481,a623f38f8edf29f44275fea84b87f5090b9355e6,,master,passed,268,2019-08-30 10:43:31 UTC,578757482,578757483,push
577649310,991b3b76496448f6b8ebb91558303224cb6c8964,922,master,passed,279,2019-08-28 02:36:26 UTC,577649311,577649312,pull_request
576644468,1f4e84a9b16a152ec9b41d6127df43d63b0a6986,,master,passed,275,2019-08-26 04:55:26 UTC,576644469,576644470,push
576644185,a7bd9079cf72bc61d45b14667de45c0d1c905176,,master,passed,283,2019-08-26 04:49:54 UTC,576644186,576644187,push
575605549,2b6d50e305678a4dc9a18a61ad18266cf0987c02,921,master,passed,261,2019-08-23 00:00:49 UTC,575605550,575605551,pull_request
575605200,37dd2784d0f64123df2ec6dad903b7d41060f65e,920,master,passed,275,2019-08-22 23:59:43 UTC,575605201,575605202,pull_request
565808974,f229a789c0e81146d19d0a0e8b93f2cac3b36a4e,919,master,passed,274,2019-07-31 05:26:34 UTC,565808975,565808976,pull_request
565808140,60deea9c4caf8728a85a6c510618f2cb3ef7423c,,master,passed,273,2019-07-31 05:22:13 UTC,565808141,565808142,push
565804482,a11b19c2c5e98e05ea34ed58af62dd8ef125cfc4,919,master,passed,271,2019-07-31 05:01:16 UTC,565804483,565804484,pull_request
565792400,5300bd482359207bd2b222a30b7a6ccf171272a1,918,master,passed,282,2019-07-31 04:05:55 UTC,565792401,565792402,pull_request
564342029,6ff03d710581b23ee60d9ed8d939a6d00112bb3a,,master,passed,279,2019-07-27 10:08:27 UTC,564342030,564342031,push
560409004,a37e80e9efd48b557025c1c4ee08c0233d7d653c,914,master,passed,230,2019-07-18 12:05:35 UTC,560409005,560409006,pull_request
560312657,2fbc8df4114f17f14057eba7768d2610badd83be,,master,passed,231,2019-07-18 04:51:16 UTC,560312658,560312659,push
559332683,f33c2b2b01f9f642cadbfc3cd3d6ac17a0dfaf6d,911,master,passed,225,2019-07-16 09:36:42 UTC,559332684,559332685,pull_request
559332665,ceb8b11a194c024ee3b454322f5ddf23ad9a10d9,,take-cheeze-patch-1,passed,228,2019-07-16 09:31:52 UTC,559332666,559332667,push
556711573,ee32ef18ceb35b4085e673d7efffdf474828e220,,master,passed,225,2019-07-10 09:27:15 UTC,556711574,556711575,push
556676069,2447de96bfb5828e5bbcb6aab20579d4959fc8f5,910,master,passed,232,2019-07-10 07:51:55 UTC,556676070,556676071,pull_request
553777919,3e718172049a369baa1eb069f180b2b392c4563a,895,master,failed,254,2019-07-03 15:04:08 UTC,553777920,553777921,pull_request
552747996,ab6860b67b5570301c4380c87c38d95e83f3cde7,908,master,passed,228,2019-07-01 12:28:07 UTC,552747997,552747998,pull_request
552464773,64c71d32ac81e19cfd02b4ce55811df98be6eed0,775,master,passed,263,2019-06-30 17:40:27 UTC,552464774,552464775,pull_request
552464300,97bd750034e061a29c898ffffeb5adf56b283e74,775,master,passed,250,2019-06-30 17:38:40 UTC,552464301,552464302,pull_request
552458439,770697a33649de40bd7256c6367c34c9f16d3626,895,master,failed,264,2019-06-30 17:13:00 UTC,552458440,552458441,pull_request
552449516,d1eb74b251e3ee18c2d5b32205f96849e1703fb6,895,master,passed,268,2019-06-30 16:31:00 UTC,552449517,552449518,pull_request
552446995,b07241604a56d35ad97437eeb4fcef9f51c89569,775,master,passed,264,2019-06-30 16:24:34 UTC,552446996,552446997,pull_request
551647748,4356556406b8cb2d40edf85985d4e2fe74c6e27f,908,master,passed,225,2019-06-28 07:13:59 UTC,551647749,551647750,pull_request
551622142,4dcf94af05d0d965aa9e50ad45a37d9e81e02289,775,master,passed,262,2019-06-28 05:34:23 UTC,551622143,551622144,pull_request
551582558,7afb31f5bf2fb8d57e50ee3f4e2708634fe2f412,,master,passed,235,2019-06-28 01:47:18 UTC,551582559,551582560,push
551227406,b2087e76d6603742eaa8476457d5d6ae9e8b92fa,904,master,errored,39,2019-06-27 10:36:33 UTC,551227407,551227408,pull_request
551195631,ebb92abfbb4f1d70fef7f1a334b1bdcf3030adce,775,master,passed,256,2019-06-27 09:20:39 UTC,551195632,551195633,pull_request
551188841,e88b70b131583658b7aebc67117831b13ffe3ba5,775,master,passed,264,2019-06-27 08:19:23 UTC,551188842,551188843,pull_request
551184417,87fb4217d1488be961082d687854a97d21fcf0ea,775,master,canceled,0,,551184418,551184419,pull_request
551168108,2b8c9f93ea19084d4d8f98f0178e524f89dafc7a,904,master,failed,228,2019-06-27 07:09:02 UTC,551168109,551168110,pull_request
551139816,e3d84e041f54351439136ac0e4ca1807cbdc766b,907,master,passed,223,2019-06-27 05:32:24 UTC,551139818,551139819,pull_request
551139409,d5790190a61500e6224816075e446446bd7929fc,907,master,passed,227,2019-06-27 05:31:11 UTC,551139410,551139411,pull_request
551136174,8c9ddcc63af0c29bbca1c1bec7c57cb06d261143,,master,passed,225,2019-06-27 05:22:21 UTC,551136178,551136181,push
551127571,f80c6d7fb608452edef5c5d80fd36e94fcf0753c,907,master,passed,236,2019-06-27 04:47:13 UTC,551127572,551127573,pull_request
551123555,cb1b5e17556d4b47eb1b3fc99f3f3ce05ce292d1,907,master,passed,235,2019-06-27 04:30:17 UTC,551123556,551123557,pull_request
551077143,0f1f6cdae5c49318260f7a9f1789b8519b4b2cc1,,master,passed,235,2019-06-27 00:44:14 UTC,551077144,551077145,push
551058683,1155ccb8ffc5e8ed50575242d7a2e565aac0bfed,905,master,passed,225,2019-06-26 23:25:00 UTC,551058684,551058685,pull_request
551058269,897b1c7e4bb7c7e27dc071593adb80386c19d1b5,906,master,passed,234,2019-06-26 23:23:29 UTC,551058270,551058271,pull_request
550915791,b7777ffeb6cb97d0f5c01182a125ac9bfb8c9b10,905,master,passed,228,2019-06-26 17:04:28 UTC,550915792,550915793,pull_request
550871498,75bcc5fbf980331648de651233606c9d4977c66d,,master,passed,222,2019-06-26 15:34:14 UTC,550871499,550871500,push
550870327,877db07bd4985d8c97aa9568427d76f08a495da6,,master,passed,260,2019-06-26 15:28:16 UTC,550870328,550870329,push
550707640,a959f1ceb46563bdd44f258f54c573838679c224,,master,passed,226,2019-06-26 09:20:50 UTC,550707641,550707642,push
550696426,f13dc897d7d6f650c473912b0b0b0a32b93f73da,904,master,failed,229,2019-06-26 08:48:47 UTC,550696427,550696428,pull_request
550674556,90bfd4450cb24cffc7f07f827a5af19ce7a224a3,903,master,passed,373,2019-06-26 08:13:02 UTC,550674557,550674558,pull_request
550672900,17a6804b273d69eba8fea85a83148908e9c6a742,902,master,passed,227,2019-06-26 07:45:31 UTC,550672901,550672902,pull_request
550671499,ce76020060bb40c7930c81d16e3b5b80aa2f0565,,master,passed,222,2019-06-26 07:41:39 UTC,550671500,550671501,push
550638694,f1e07dd0654284cb86c1f353be656b0203aa0479,902,master,passed,231,2019-06-26 05:50:49 UTC,550638695,550638696,pull_request
550124767,ec4b80379a2774b8a5c8a5f2d113d7431db7bf7b,901,master,passed,232,2019-06-25 08:42:43 UTC,550124768,550124769,pull_request
550122890,7a89dd91874d26ecc8c9c0e22092268caf6a1f24,901,master,canceled,0,,550122891,550122892,pull_request
550050254,830ddc546c4eb598b7be1cb316df66cdd842829f,,master,passed,227,2019-06-25 02:41:59 UTC,550050255,550050256,push
546562597,2f64da2134b59607f5dc8d1e7c26fa685af3e16b,897,master,passed,234,2019-06-17 05:10:41 UTC,546562598,546562599,pull_request
546167282,d522d901bcfbaaa744213f46ae758fae70c10775,895,master,passed,252,2019-06-15 17:05:11 UTC,546167283,546167284,pull_request
546165509,08a5f25d4c9b14488b07a041663c9b96f1e0460d,895,master,passed,274,2019-06-15 17:00:09 UTC,546165510,546165511,pull_request
545598315,c22c4512b1d9d3b8918804dafba1e8d260586321,,master,passed,233,2019-06-14 06:33:55 UTC,545598316,545598317,push
545592535,d4bd7cd7f124f31fe01587a9a4b597cef0ed3b81,896,master,passed,230,2019-06-14 06:11:24 UTC,545592536,545592537,pull_request
545154632,3547d888e84ceb38d1a88f2b560e544975072b2b,,master,passed,226,2019-06-13 10:30:11 UTC,545154633,545154634,push
545110023,b2d4c31c2724a900cbe50b92243cf74fd3c8d0d4,895,master,passed,259,2019-06-13 08:09:53 UTC,545110024,545110025,pull_request
545109340,8a9678aa57af13ff3f03a2bd638fe57d148067a2,894,master,passed,230,2019-06-13 08:07:28 UTC,545109341,545109342,pull_request
545086548,89957bb5e6fec4af152e3e780ece08779c522269,775,master,passed,260,2019-06-13 07:16:40 UTC,545086549,545086550,pull_request
545085854,1558bf0018f9c427b8cb2b8bf9748d5c39b05a55,775,master,canceled,0,,545085855,545085856,pull_request
545003978,12047617f546308c481387f96055b86459a55cd9,,master,passed,234,2019-06-13 00:03:00 UTC,545003979,545003980,push
544742167,08e22cfcb2fa12a8cccba7feb0259f909431f7bb,893,master,passed,231,2019-06-12 15:06:15 UTC,544742168,544742170,pull_request
544702069,dcce9fc53ec9e02623c847299aaeab5ac3443e2b,,v0.13.1,passed,294,2019-06-12 14:20:15 UTC,544702070,544702071,push
544701307,4ec131492af83f02d9d1e9ddccb30c9a59b38cd2,,master,passed,239,2019-06-12 14:17:50 UTC,544701308,544701309,push
544700734,6c1dadd4f3b2ff5085cb68042c3bc0f03f71f632,892,master,passed,236,2019-06-12 14:15:26 UTC,544700735,544700736,pull_request
544681254,6b99dc81187a11253bf019b7e2b8a73a7ef39f96,892,master,canceled,0,,544681255,544681256,pull_request
543730588,da84da980746f80eb2073044929b4b44dbdc42f8,838,master,passed,248,2019-06-10 13:27:19 UTC,543730589,543730591,pull_request
543729364,83ec03cc1feb8405e9fa8dbf3afe1a6d334cc4cd,838,master,failed,242,2019-06-10 13:24:15 UTC,543729365,543729366,pull_request
543724782,612749ea119a29546757e53a6763f41f1572a7ee,838,master,failed,243,2019-06-10 13:12:48 UTC,543724783,543724784,pull_request
543555928,dcce9fc53ec9e02623c847299aaeab5ac3443e2b,,master,passed,232,2019-06-10 02:58:54 UTC,543555929,543555930,push
543276893,76d0cdcbb09546f8d607a4e621062367c797b687,891,master,passed,232,2019-06-09 01:22:26 UTC,543276894,543276895,pull_request
543259741,030d98efe463a025067642498a097305c2ac3450,775,master,passed,267,2019-06-08 23:12:32 UTC,543259742,543259743,pull_request
543173407,34ced6e0af7006414d0346c9344201afce33fbe1,775,master,passed,267,2019-06-08 16:03:07 UTC,543173408,543173409,pull_request
543160850,d3d5fa38614930913cecb33089ea5873fcd3d2c2,775,master,failed,270,2019-06-08 15:41:38 UTC,543160851,543160852,pull_request
543157343,08df6617b4d19d1a0fc51255088ce1a44f3e8a78,775,master,passed,319,2019-06-08 14:55:59 UTC,543157344,543157345,pull_request
543154637,793c0bc4a2cd01d452bee0b14b9722542fca961a,775,master,passed,259,2019-06-08 14:45:15 UTC,543154638,543154639,pull_request
543154043,9201644a641d1cb2dd72a41286f1cb81057a50ea,775,master,passed,258,2019-06-08 14:42:52 UTC,543154044,543154045,pull_request
542697699,ea1bb8cb85a41fe00c20324d97b896085f76e73e,838,master,passed,248,2019-06-07 10:44:58 UTC,542697700,542697701,pull_request
542654136,0f8e87c5012f4a8f7abe415a5ea9a2404075a46a,838,master,passed,312,2019-06-07 09:02:27 UTC,542654137,542654138,pull_request
542629062,177da79ca5d282f0451b3f4c81b72ddfe4da4cda,838,master,failed,258,2019-06-07 07:28:50 UTC,542629063,542629064,pull_request
542178716,3484ff4578f1899c485148d1c891ca514061e159,890,master,passed,299,2019-06-06 09:37:11 UTC,542178717,542178719,pull_request
542031827,0942bd819cbab22f040cdb1beeef9d4fb498ad5e,,master,passed,274,2019-06-06 00:29:40 UTC,542031828,542031829,push
541628803,123f780ae5fd0d905578c9277ec88f8f21887181,889,master,passed,268,2019-06-05 09:07:54 UTC,541628804,541628805,pull_request
541008261,9fe62c88fa034955b9ac4cfb0a6952b7c7354459,,master,passed,377,2019-06-04 00:15:40 UTC,541008262,541008263,push
540685592,e6eaf8710c5ff67a3d8e7054ae62feb4c0c2562f,887,master,passed,340,2019-06-03 10:46:43 UTC,540685593,540685594,pull_request
540605139,2b7e15e2713b3cbe044400f71a05e6a5f9d99168,886,master,passed,241,2019-06-03 07:18:57 UTC,540605140,540605141,pull_request
540597107,472da1ee5ed5c778e29f92ab3888fea242bc3cf0,,master,passed,267,2019-06-03 06:41:14 UTC,540597108,540597109,push
540587283,6ce4c3727a3812a0bbb95c9f6be037a63e4e8b5c,885,master,passed,246,2019-06-03 05:54:13 UTC,540587284,540587285,pull_request
539832113,97ced5a436aad66b7182879a0b93f6ae5b6a730b,885,master,passed,247,2019-05-31 18:21:38 UTC,539832114,539832115,pull_request
539737288,5b792b1bd00aff1a29cf3bf265f1aba5991bd67d,,master,passed,249,2019-05-31 14:32:02 UTC,539737289,539737290,push
539708759,202521b63c1ded3c6e6b68dda690616ec389f724,884,master,passed,273,2019-05-31 13:22:28 UTC,539708760,539708761,pull_request
539608505,35c2513e688b82f21aa65b1c1133910e576845b3,,v0.13.0,passed,247,2019-05-31 08:57:58 UTC,539608506,539608507,push
539607596,35c2513e688b82f21aa65b1c1133910e576845b3,,master,passed,269,2019-05-31 08:55:19 UTC,539607597,539607598,push
539595280,0910b65dca6871767ed9d7eb5ef19b4e81ffc7fb,883,master,passed,259,2019-05-31 08:18:56 UTC,539595281,539595282,pull_request
539554615,8876c765893aee0900654767183b74922327d2d7,,master,passed,260,2019-05-31 06:29:22 UTC,539554616,539554617,push
539547824,bbe0fee801a5e11195fe5a04730039a4d1dfcd50,797,master,passed,248,2019-05-31 06:03:43 UTC,539547825,539547826,pull_request
539115192,bb60194c7e34cb85b015e9e57eb4003672a554c6,797,master,passed,266,2019-05-30 08:32:00 UTC,539115193,539115194,pull_request
539109339,9b0a66be51879277d350a4aa847951c805888ec7,797,master,passed,271,2019-05-30 08:09:48 UTC,539109340,539109341,pull_request
539064744,28fd2c8a095fcd92da2c9382d9cbcfad4080c175,,master,passed,260,2019-05-30 04:54:40 UTC,539064745,539064746,push
538744171,521c69b728455fe119678431a83053d7b4e132a0,,master,passed,213,2019-05-29 13:19:02 UTC,538744172,538744173,push
538743594,de1973efa99b28fd2a029fc6479d7ccd919e311b,,master,passed,242,2019-05-29 13:16:35 UTC,538743595,538743596,push
538659941,a7095394c3d4f2f3c6cc2e7b10dba085909d6aec,,master,passed,244,2019-05-29 10:27:53 UTC,538659942,538659943,push
538629819,03998885cc2ff3a55398fbd96af202f30819abd0,846,master,passed,242,2019-05-29 09:14:28 UTC,538629820,538629822,pull_request
538629484,f15490dbd0db5217016109379fb817cb7653ac86,868,master,passed,204,2019-05-29 09:10:03 UTC,538629485,538629486,pull_request
538609218,b14c5b882609236c323fd51187c900bf9834a23d,869,master,passed,229,2019-05-29 08:24:01 UTC,538609219,538609220,pull_request
538608012,b650f63e25f3ed7f4b8d5612017fae5ec2c812ac,869,master,canceled,0,,538608013,538608014,pull_request
538532996,76e720197ad9a6ae3955ed301816b5676ad1dc8d,,master,passed,222,2019-05-29 02:12:56 UTC,538532997,538532998,push
538532875,33a3a37afb976020724dc7e8d12b1b44deb7f455,,master,passed,226,2019-05-29 02:10:40 UTC,538532876,538532877,push
538141248,7c773d867701f3bfb5e1fda221f6abafee587527,846,master,passed,294,2019-05-28 09:51:38 UTC,538141249,538141250,pull_request
538138717,388e848c8242dad9ddc0f50ec36d8cfb558a7115,868,master,passed,219,2019-05-28 09:34:48 UTC,538138718,538138719,pull_request
538136873,98dc292533f0bec801d5334c5fe8187dbd06ed39,868,master,passed,338,2019-05-28 09:27:38 UTC,538136874,538136875,pull_request
538115409,f324fe0223131155ea21dde973af20fcb392e50e,775,master,passed,291,2019-05-28 08:36:30 UTC,538115410,538115411,pull_request
538103058,9d2ec5188318bbc3f65b336be16d748fd58265ff,877,master,passed,214,2019-05-28 08:13:44 UTC,538103059,538103060,pull_request
538047360,5252fd4fc374fde0149b3d63adf826b52d11bf7e,868,master,passed,233,2019-05-28 04:06:03 UTC,538047361,538047362,pull_request
538047227,6711aca061932e78014280fdbeb63266b7197208,868,master,passed,217,2019-05-28 04:04:41 UTC,538047228,538047229,pull_request
538046604,c343a219180012c21f013f0b821686487c1e7f27,868,master,passed,242,2019-05-28 04:01:45 UTC,538046605,538046606,pull_request
538045390,227b7afac9320d14d058658c304f702a8670d115,868,master,passed,301,2019-05-28 03:57:06 UTC,538045391,538045392,pull_request
538045246,2bdd9727318532fc1ad70c32af0d4ccec757bdc1,868,master,passed,241,2019-05-28 03:56:14 UTC,538045247,538045248,pull_request
538045051,47d2ea59d437b58c235cd4e76ec52bdf6136811c,868,master,failed,249,2019-05-28 03:54:32 UTC,538045052,538045053,pull_request
538005816,19fa45dc738601f6b1217ce8d7fb91827512ff7d,882,master,passed,243,2019-05-28 00:22:42 UTC,538005817,538005818,pull_request
537912629,227382e77a87bcb37cac8c59f1e3be43c4924eb1,882,master,passed,227,2019-05-27 18:47:01 UTC,537912630,537912631,pull_request
537911221,5cbb08167e7158c95463d1a7355611f78f8fbb47,882,master,passed,248,2019-05-27 18:41:07 UTC,537911223,537911224,pull_request
537679162,b16e7f05d9e39450f4bbdfd4ae78f72b970be5aa,833,master,passed,236,2019-05-27 08:53:09 UTC,537679163,537679164,pull_request
537676664,74ac0952a9c60a6a71303fc0b05990d663ede53a,,master,passed,232,2019-05-27 08:11:55 UTC,537676665,537676666,push
537053959,3520251a279f5d6a442017cbbabddc74667dc684,775,master,passed,303,2019-05-25 02:43:22 UTC,537053960,537053961,pull_request
536430243,05bab74f33d90c1db453dbdea466945c08e3afd3,775,master,passed,323,2019-05-23 18:31:00 UTC,536430244,536430245,pull_request
535843380,90eda63ceeb18777ac982cf49ec42b742c403075,775,master,passed,291,2019-05-22 16:05:51 UTC,535843381,535843382,pull_request
535468329,29b7117cf354cee20f6cd9a5363098c717ea6822,881,master,passed,245,2019-05-21 20:10:19 UTC,535468330,535468331,pull_request
535448945,eede3f4d3a77e404253bd563072cf1495717c850,881,master,passed,238,2019-05-21 19:21:08 UTC,535448946,535448947,pull_request
535441744,6e4b1baa9767c695228c437ce45c6a08a5dc6491,881,master,passed,234,2019-05-21 18:59:46 UTC,535441745,535441746,pull_request
535407100,86af2c6f0888e411a26b5e2316a362d1cfe5c724,881,master,passed,197,2019-05-21 17:32:45 UTC,535407101,535407102,pull_request
535403137,022176464ade9452f2a2f7a8b95b64c7c778db8d,881,master,passed,214,2019-05-21 17:20:58 UTC,535403138,535403139,pull_request
535402659,d753583e8571712ac11834e2616564041c67c457,,pull/880,passed,231,2019-05-21 17:19:37 UTC,535402660,535402661,push
535264010,25455e6d3c4df6d679404a8e36cd27441f1614c2,877,master,passed,238,2019-05-21 13:01:08 UTC,535264011,535264012,pull_request
535179683,bdf2b9d0b8386912da66d134872e46ebcda2b629,775,master,passed,253,2019-05-21 08:13:21 UTC,535179684,535179685,pull_request
535179124,77598a67b656efeb3a4e6c8ebe4530577ecb261b,775,master,passed,258,2019-05-21 08:11:20 UTC,535179125,535179126,pull_request
535153806,7c9db6c81564087c9a2a28c8350d8b865add26a9,,master,passed,238,2019-05-21 07:16:28 UTC,535153807,535153808,push
534785503,02397e08513ed81f999f08cc6c5baacb8d851e7a,880,master,passed,222,2019-05-20 12:53:56 UTC,534785504,534785505,pull_request
534717977,3d8242846fcc0bae1ddfad8b27a6fd11eef1c739,869,master,passed,228,2019-05-20 10:08:26 UTC,534717978,534717979,pull_request
534703829,461ed4682972233011efefc54f78fc3c76b936ae,879,master,passed,233,2019-05-20 09:32:20 UTC,534703830,534703831,pull_request
534691632,b7cd5593974c8f9feb6b123417f6d157424e352d,775,master,passed,271,2019-05-20 09:24:33 UTC,534691633,534691634,pull_request
