build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
714694472,5c6bfebbf8c74ea44fc81bbcf77f9ee9246d000b,929,master,errored,3516,2020-08-04 04:16:20 UTC,714694473,714694474,714694475,714694476,714694477,714694478,714694479,714694480,714694481,714694482,714694483,714694484,714694485,714694486,714694487,714694488,714694489,714694490,714694491,714694492,714694493,714694494,714694495,714694496,714694497,714694498,714694499,714694500,714694501,714694502,pull_request
714690546,d2786b987f758c503c064654b8c31cf119bcb762,929,master,errored,3541,2020-08-04 03:58:03 UTC,714690547,714690548,714690549,714690550,714690551,714690552,714690553,714690554,714690555,714690556,714690557,714690558,714690559,714690560,714690561,714690562,714690563,714690564,714690565,714690566,714690567,714690568,714690569,714690570,714690571,714690572,714690573,714690574,714690575,714690576,pull_request
714690377,9a80576f9fa841d0045f90e495055f8c61d49496,,master,passed,2736,2020-08-04 03:55:18 UTC,714690378,714690379,714690380,714690381,714690382,714690383,714690384,714690385,714690386,714690387,714690388,714690389,714690390,714690391,714690392,714690393,714690394,714690395,714690396,714690397,714690398,714690399,714690400,714690401,714690402,714690403,714690404,714690405,714690406,714690407,push
714689025,8115eb19c3c129738f5721578431f72aa8234bbd,932,master,passed,2917,2020-08-04 03:37:17 UTC,714689026,714689027,714689028,714689029,714689030,714689031,714689032,714689033,714689034,714689035,714689036,714689037,714689038,714689039,714689040,714689041,714689042,714689043,714689044,714689045,714689046,714689047,714689048,714689049,714689050,714689051,714689052,714689053,714689054,714689055,pull_request
714661099,d8f0b506a02f727869e0ffd807688a0b18789f05,932,master,failed,3038,2020-08-04 00:33:23 UTC,714661100,714661101,714661102,714661103,714661104,714661105,714661106,714661107,714661108,714661109,714661110,714661111,714661112,714661113,714661114,714661115,714661116,714661117,714661118,714661119,714661120,714661121,714661122,714661123,714661124,714661125,714661126,714661127,714661128,714661129,pull_request
714658708,688538cc0e84b1cb168de78be509cd63bf397763,,master,passed,2777,2020-08-04 00:18:35 UTC,714658709,714658710,714658711,714658712,714658713,714658714,714658715,714658716,714658717,714658718,714658719,714658720,714658721,714658722,714658723,714658724,714658725,714658726,714658727,714658728,714658729,714658730,714658731,714658732,714658733,714658734,714658735,714658736,714658737,714658738,push
714654948,c66292149c1fa77b21a8b6ebc367cfc89a9f240a,931,master,passed,2939,2020-08-04 00:05:25 UTC,714654949,714654950,714654951,714654952,714654954,714654955,714654956,714654958,714654959,714654960,714654961,714654962,714654963,714654964,714654965,714654966,714654967,714654968,714654969,714654970,714654971,714654972,714654973,714654974,714654975,714654976,714654977,714654978,714654979,714654980,pull_request
714653279,8a7f7765e456f5a7da77aa77ed6f724fba870830,929,master,errored,3367,2020-08-03 23:51:03 UTC,714653280,714653281,714653282,714653283,714653284,714653285,714653286,714653287,714653288,714653289,714653290,714653291,714653292,714653293,714653294,714653295,714653296,714653297,714653298,714653299,714653300,714653301,714653302,714653303,714653304,714653305,714653306,714653307,714653308,714653309,pull_request
714651484,f69af18ad2c5b52899e85bb7850277c5031ea816,929,master,errored,3337,2020-08-03 23:41:35 UTC,714651485,714651486,714651487,714651488,714651489,714651490,714651491,714651492,714651493,714651494,714651495,714651496,714651497,714651498,714651499,714651500,714651501,714651502,714651503,714651504,714651505,714651506,714651507,714651508,714651509,714651510,714651511,714651512,714651513,714651514,pull_request
714650663,778c03fca94a37d60d761f20c2ffe8974053d8f9,929,master,canceled,3239,2020-08-03 23:34:55 UTC,714650664,714650665,714650666,714650667,714650668,714650669,714650670,714650671,714650672,714650673,714650674,714650675,714650676,714650677,714650678,714650679,714650680,714650681,714650682,714650683,714650684,714650685,714650686,714650687,714650688,714650689,714650690,714650691,714650692,714650693,pull_request
