build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
566740957,5f3e77b3aa093228a304335bb1e946ee23cf6e37,288,master,errored,418,2019-08-02 00:34:10 UTC,566740958,566740961,566740962,566740963,pull_request
566738616,ff47319f89369a96ae786a3952f81bf3c08da47c,288,master,errored,463,2019-08-02 00:21:51 UTC,566738621,566738623,566738625,566738626,pull_request
553626548,0e9c2dee5bf06f59c5d28bd81787cb950ef21d4d,285,master,passed,1339,2019-07-03 07:21:18 UTC,553626549,553626550,553626551,553626552,pull_request
550020506,02440ea7a28525b3079783ad9c27083994a42366,,master,passed,1345,2019-06-25 01:02:50 UTC,550020507,550020508,550020509,550020510,push
549280100,755be1109a60fed9d2659cb99003826a732ac8f0,283,master,passed,1326,2019-06-23 06:14:41 UTC,549280101,549280102,549280103,549280104,pull_request
521498489,05a0a6d289fac2c131c08af660583bf5d7f911f6,277,master,passed,1384,2019-04-17 23:51:15 UTC,521498490,521498491,521498492,521498493,pull_request
518583251,dfcf656c9dd3a64e390bac2e433b7902d95659f3,275,master,passed,1404,2019-04-11 03:22:11 UTC,518583252,518583254,518583255,518583256,pull_request
508615669,314947a815e358a7f7518c340f0b358ce6f9dfc3,272,master,passed,1460,2019-03-19 21:35:31 UTC,508615670,508615671,508615672,508615673,pull_request
507666115,c3a204f8e96543bb0cc090385c001078f184fc46,,master,passed,1428,2019-03-18 03:00:48 UTC,507666116,507666117,507666118,507666119,push
507653754,c92c86779475a27833d6933906aa8cf7b8bd42ec,270,master,passed,1475,2019-03-18 02:02:10 UTC,507653755,507653756,507653757,507653758,pull_request
507200826,375b14bba859f11203147fa5d12d2334cb8702cc,270,master,passed,1438,2019-03-16 14:02:01 UTC,507200827,507200828,507200829,507200830,pull_request
507199911,943d9cd2c7da01378861bdfa17d553c92088246d,270,master,passed,1434,2019-03-16 13:58:55 UTC,507199912,507199913,507199914,507199915,pull_request
507189986,497687231579e053f98c60d5d633cc11c33ec1ff,270,master,failed,1405,2019-03-16 13:17:23 UTC,507189987,507189988,507189989,507189990,pull_request
505763922,7bd84fdc8ccda40c12af62ed4f0a94a0dd04a362,,master,passed,1366,2019-03-13 13:33:27 UTC,505763923,505763924,505763925,505763926,push
505572709,4c15eb7dec090383ca3408c93ce8c43f14aca993,270,master,passed,1432,2019-03-13 04:12:41 UTC,505572710,505572711,505572712,505572713,pull_request
505571475,dddbd4aa1902affa6c955c587cdd49c42cc2030e,270,master,passed,1413,2019-03-13 04:06:03 UTC,505571476,505571477,505571478,505571479,pull_request
505041133,c7ec61c4158f8cd750c345ae54de9c18a59e09cc,270,master,passed,1505,2019-03-12 03:55:55 UTC,505041134,505041135,505041136,505041137,pull_request
505032151,6978f88e3d6323b8df1d478948de68bac9e67ff5,270,master,failed,1415,2019-03-12 03:16:25 UTC,505032152,505032153,505032154,505032155,pull_request
505030013,97a69d408c6d47b0aa77acb8d95131ac1ab2096a,270,master,failed,1481,2019-03-12 03:06:12 UTC,505030014,505030015,505030016,505030017,pull_request
501860655,1b718f54a57334bb4d800afc586569a402748dbf,268,master,passed,1355,2019-03-05 05:18:00 UTC,501860656,501860657,501860658,501860659,pull_request
501458221,8e364a54c03682945c5100958f662ccf2b53e715,268,master,passed,1445,2019-03-04 12:04:35 UTC,501458222,501458223,501458224,501458225,pull_request
501334419,3a907f965fc16db5f7787e18d4434bbe46d47f6e,,master,passed,1393,2019-03-04 06:08:36 UTC,501334420,501334421,501334422,501334423,push
501084774,6dc20d13fdbbf7dfec781586100bc72fcc5d2390,267,master,passed,1360,2019-03-03 12:47:25 UTC,501084775,501084776,501084777,501084778,pull_request
498795156,100af30d09b58316a56c15eb2ef1c8df57627e74,,v1,errored,1542,2019-02-26 15:51:21 UTC,498795157,498795158,498795159,498795160,push
498788465,4217c9f31f5816db02addc94e56061da77f288d8,,master,passed,1444,2019-02-26 15:41:27 UTC,498788466,498788467,498788468,498788469,push
498787612,edc41b206c0cd961d4baa830a1a219d2c4b0f897,,master,passed,1500,2019-02-26 15:36:07 UTC,498787613,498787614,498787615,498787616,push
498786275,ea1ae692467977588e17742af0fe0f8bd2af38c0,,master,passed,1367,2019-02-26 15:33:06 UTC,498786276,498786277,498786278,498786279,push
498786098,7ca0152c65a27cb82bccd58226fc36f4b408ea59,,master,canceled,0,,498786099,498786100,498786101,498786102,push
498705200,100af30d09b58316a56c15eb2ef1c8df57627e74,,master,passed,1343,2019-02-26 12:42:32 UTC,498705201,498705202,498705203,498705204,push
497992905,729279cf794767a5ba1fbc16a258bf78dae81be1,264,master,passed,1308,2019-02-25 05:38:13 UTC,497992906,497992907,497992908,497992909,pull_request
497991185,67650d22ccfec5d9417a5321f583e01ea5071e3d,264,master,passed,1369,2019-02-25 05:30:13 UTC,497991186,497991187,497991188,497991189,pull_request
497967316,23697e5babbc08d40deacf7a4b699bbe44215c86,264,master,passed,1396,2019-02-25 03:34:53 UTC,497967317,497967318,497967319,497967320,pull_request
497495222,6af84b8d7d091cab0b3e0e6d83919f095a235583,263,master,passed,1361,2019-02-23 15:26:06 UTC,497495223,497495224,497495225,497495226,pull_request
497494389,a42955c1442198ed98a66706c2880693b61a391a,262,master,passed,1469,2019-02-23 15:24:11 UTC,497494390,497494391,497494392,497494393,pull_request
497114736,c583c61e2677e6f2b2d0fe2d468ef81ac89ed463,261,master,passed,1413,2019-02-22 16:14:05 UTC,497114737,497114738,497114740,497114741,pull_request
496872092,9d007e481048296f09f59bd19bb7ae584563cd95,,v1.0.0,passed,1400,2019-02-22 05:28:02 UTC,496872093,496872094,496872095,496872096,push
496870856,9d007e481048296f09f59bd19bb7ae584563cd95,,v1,passed,1435,2019-02-22 05:21:51 UTC,496870857,496870858,496870859,496870860,push
496870302,9d007e481048296f09f59bd19bb7ae584563cd95,,master,passed,1380,2019-02-22 05:18:53 UTC,496870303,496870304,496870305,496870306,push
492477564,bd5b0fe0b21e72daba8b0d8a70101911550ad33c,260,master,passed,1506,2019-02-13 01:15:33 UTC,492477565,492477566,492477567,492477568,pull_request
488031920,2f17a3356c6616cbfc4ae4c38147dc062a68fb0e,,master,passed,1365,2019-02-03 03:13:32 UTC,488031921,488031922,488031923,488031924,push
488031861,4ff577fead167a15d7381ae30ed643d1a96575c2,,master,canceled,0,,488031862,488031863,488031864,488031865,488031866,488031867,488031868,push
488028454,9b3c77dbeb425c91cf0111d218199332f05a2c78,257,master,errored,1560,2019-02-03 02:50:13 UTC,488028455,488028456,488028457,488028458,488028459,488028460,488028461,pull_request
488027769,04f3b4646aef5285925a9be478ff2c5dccc17104,256,master,passed,1418,2019-02-03 02:43:44 UTC,488027770,488027771,488027772,488027773,pull_request
488024580,ebac861629ee18b0006b9daf4c775b548a14939b,,master,errored,1747,2019-02-03 02:21:31 UTC,488024581,488024582,488024583,488024584,488024585,488024586,488024587,push
487972127,a485f2f5ff979e2b53ca54172eb5cff3f6e64e8e,255,master,errored,1588,2019-02-02 21:51:03 UTC,487972128,487972129,487972130,487972131,487972132,487972133,487972134,pull_request
487971995,78e258e610eb25e5d1138b34812f482e412934f2,255,master,errored,1528,2019-02-02 21:49:01 UTC,487971996,487971998,487972000,487972002,487972003,487972004,487972005,pull_request
467129785,b69005af48bea7025177050e70715e7374e5cab9,230,master,passed,1384,2018-12-12 18:25:19 UTC,467129786,467129787,467129790,467129791,pull_request
467123280,ea1136e33c6b51b159e153412026949f2117c23e,230,master,errored,2134,2018-12-12 18:08:33 UTC,467123281,467123282,467123283,467123284,467123285,467123286,467123287,pull_request
467122813,5cc35cfe9e17a1550af21bb2635bebcdb2424adb,230,master,errored,1581,2018-12-12 18:07:02 UTC,467122814,467122815,467122816,467122817,467122818,467122819,467122820,pull_request
465240226,a217a9c62572ee412bf0820b69fcbc4b45f1c8e7,250,master,errored,1460,2018-12-08 04:22:37 UTC,465240227,465240228,465240229,465240230,465240231,465240232,465240233,pull_request
460694381,b001fa50d6b27f3f0bb175a87d0cb55426d0a0ae,,master,errored,1554,2018-11-28 10:10:35 UTC,460694382,460694383,460694384,460694385,460694386,460694387,460694388,push
