build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
498691759,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4189,2019-02-26 12:27:06 UTC,498691760,498691761,498691762,498691763,498691764,498691765,498691766,cron
497746702,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4011,2019-02-24 12:25:52 UTC,497746703,497746704,497746705,497746706,497746707,497746708,497746709,cron
497004067,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4199,2019-02-22 12:02:27 UTC,497004068,497004069,497004070,497004071,497004072,497004073,497004074,cron
495951587,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,failed,5495,2019-02-20 12:01:40 UTC,495951588,495951589,495951591,495951592,495951593,495951594,495951595,cron
494854238,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4101,2019-02-18 12:22:57 UTC,494854239,494854240,494854241,494854242,494854243,494854244,494854246,cron
494180937,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4056,2019-02-16 11:59:06 UTC,494180938,494180939,494180940,494180941,494180942,494180943,494180944,cron
493200920,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4202,2019-02-14 11:58:15 UTC,493200921,493200922,493200923,493200924,493200925,493200926,493200927,cron
492125819,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4475,2019-02-12 12:18:45 UTC,492125820,492125821,492125823,492125825,492125826,492125827,492125828,cron
491217973,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,3986,2019-02-10 12:17:45 UTC,491217974,491217975,491217976,491217977,491217978,491217979,491217980,cron
490511328,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4319,2019-02-08 12:16:23 UTC,490511330,490511334,490511338,490511339,490511341,490511342,490511343,cron
489498149,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4404,2019-02-06 11:53:22 UTC,489498151,489498152,489498153,489498154,489498155,489498156,489498157,cron
488876131,6ebb60e99b270d33a0d001b9cfc8803102860a48,,master,passed,4065,2019-02-05 06:06:16 UTC,488876132,488876133,488876134,488876135,488876136,488876137,488876138,push
488833683,cf0dbd98fcb9e59a7b4c71e8f497ffd9ee2bbfe0,114,master,passed,3999,2019-02-05 03:23:43 UTC,488833684,488833685,488833686,488833687,488833688,488833689,488833690,pull_request
488112924,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3961,2019-02-03 11:51:59 UTC,488112925,488112926,488112927,488112928,488112929,488112930,488112931,cron
487395661,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,4185,2019-02-01 11:50:39 UTC,487395662,487395663,487395664,487395665,487395666,487395667,487395668,cron
486375535,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3953,2019-01-30 12:10:08 UTC,486375536,486375537,486375538,486375539,486375540,486375541,486375542,cron
485356669,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3953,2019-01-28 11:47:35 UTC,485356670,485356671,485356672,485356673,485356674,485356675,485356676,cron
484718003,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3752,2019-01-26 11:46:32 UTC,484718004,484718005,484718006,484718007,484718008,484718009,484718010,cron
