"login","name","language","num_watchers","num_external_contributors","num_prs","num_issues","active_years","num_travis_builds"
"sj26","mailcatcher","Ruby",1691,32,79,151,"5",62
"psu-stewardship","scholarsphere","Ruby",52,9,92,85,"4",1603
"james2m","canard","Ruby",109,7,12,8,"3",78
"ialbert","biostar-central","Python",168,10,48,201,"3",355
"tkaemming","django-subdomains","Python",118,7,19,15,"5",68
"PolicyStat","jobtastic","Python",182,8,16,31,"3",92
"SQiShER","java-object-diff","Java",178,10,19,112,"3",202
"couchbase","couchbase-python-client","Python",89,13,24,0,"4",635
"watir","watir-webdriver","Ruby",206,24,85,265,"6",557
"sdruby","sdruby","Ruby",52,10,41,64,"6",129
"gabrielfalcao","sure","Python",205,14,32,46,"5",230
"ella","ella","Python",221,8,50,121,"4",154
"ligi","gobandroid","Java",78,6,18,124,"5",76
"jsmestad","pivotal-tracker","Ruby",80,22,54,35,"5",114
"heroku","toolbelt","Ruby",101,19,29,86,"4",87
"phoet","asin","Ruby",107,12,16,17,"4",110
"joelittlejohn","embedmongo-maven-plugin","Java",53,9,16,24,"3",136
"rtyley","spongycastle","Java",175,10,4,14,"3",116
"gedankenstuecke","snpr","Ruby",55,2,117,69,"4",1049
"moiristo","deep_cloneable","Ruby",116,14,22,22,"5",73
"jeremytregunna","ruby-trello","Ruby",256,41,96,32,"3",377
"Yaco-Sistemas","yith-library-server","Python",59,0,0,1,"3",245
"mattupstate","flask-social","Python",178,12,40,37,"3",85
"middleman","middleman-blog","Ruby",142,41,109,112,"4",346
"stripe","stripe-java","Java",123,49,110,70,"4",817
"SimonSapin","cssselect","Python",109,8,13,20,"4",65
"Bcfg2","bcfg2","Python",77,47,246,37,"12",1791
"colinsurprenant","redstorm","Ruby",125,18,35,81,"4",232
"mbj","mutant","Ruby",503,28,119,247,"3",1902
"nathanmarz","elephantdb","Java",132,7,14,13,"4",156
"jbittel","django-mama-cas","Python",61,6,6,13,"3",70
"jarib","childprocess","Ruby",132,14,26,36,"5",223
"internetarchive","wayback","Java",111,13,60,31,"5",85
"davidhalter","jedi","Python",1499,34,217,398,"3",1367
"openspending","openspending","Python",79,26,134,710,"4",551
"dirn","When.py","Python",127,2,4,1,"3",72
"collectiveidea","delayed_job_active_record","Ruby",92,25,54,55,"4",171
"h3xstream","find-sec-bugs","Java",71,10,17,46,"3",163
"immutant","immutant","Java",196,14,17,0,"4",382
"charettes","django-mutant","Python",109,3,8,21,"3",333
"bokmann","font-awesome-rails","Ruby",495,17,48,90,"3",143
"arches","table_print","Ruby",190,10,14,31,"3",204
"hmans","happy","Ruby",77,0,0,14,"3",85
"ProgVal","Supybot-plugins","Python",65,15,107,96,"4",495
"plataformatec","mail_form","Ruby",201,13,17,14,"6",51
"dmathieu","glynn","Ruby",158,13,16,20,"6",52
"owahab","paperclip-ffmpeg","Ruby",87,20,26,32,"4",81
"apache","libcloud","Python",523,133,535,0,"6",1596
"mozilla","Addon-Tests","Python",110,30,726,53,"4",122
"jimweirich","rspec-given","Ruby",318,8,16,34,"5",210
"fiorix","txredisapi","Python",135,20,56,33,"6",140
"kostyantyn","hydra_attribute","Ruby",128,4,8,18,"3",309
"buildout","buildout","Python",135,32,113,133,"4",303
"spilliton","randumb","Ruby",139,8,16,16,"4",117
"callowayproject","django-categories","Python",194,16,32,63,"6",71
"timcraft","nexmo","Ruby",95,7,18,18,"4",51
"KatanaCode","blogit","Ruby",145,11,21,40,"4",106
"lxml","lxml","Python",283,32,115,40,"4",503
"jamesotron","faye-rails","Ruby",206,18,26,46,"4",90
"danmunn","redmine_dmsf","Ruby",146,15,60,337,"4",578
"mischa78","boxroom","Ruby",185,8,15,31,"5",197
"jantje","arduino-eclipse-plugin","Java",116,16,71,209,"4",318
"sergi","jsftp","Python",177,18,46,72,"4",222
"joshuakarjala","django-hunger","Python",81,11,40,22,"4",120
"scottvrosenthal","twitter-bootswatch-rails","Ruby",195,10,11,25,"3",76
"yb66","Sinatra-Partial","Ruby",75,3,6,4,"4",55
"lostboy","workless","Ruby",132,19,37,32,"5",82
"yob","pdf-reader","Ruby",533,25,43,99,"9",237
"flowdock","oulu","Ruby",81,7,50,18,"3",81
"evolve75","RubyTree","Ruby",110,10,19,31,"5",282
"hstaudacher","osgi-jax-rs-connector","Java",89,11,25,80,"3",134
"bugsnag","bugsnag-ruby","Ruby",99,45,160,91,"4",814
"simplejson","simplejson","Python",246,16,34,53,"10",129
"charettes","django-admin-enhancer","Python",52,5,10,14,"3",51
"structr","structr","Java",245,13,48,324,"4",2114
"inveniosoftware","invenio","Python",65,88,1064,2274,"9",6272
"hamcrest","JavaHamcrest","Java",361,18,55,54,"9",229
"peterbourgon","diskv","Go",247,3,14,9,"3",61
"sosedoff","goodreads","Ruby",78,5,18,6,"4",68
"reficio","p2-maven-plugin","Java",82,12,21,55,"3",137
"coderanger","pychef","Python",76,8,21,9,"5",88
"gak","pycallgraph","Python",369,13,19,39,"5",140
"garybernhardt","raptor","Ruby",170,11,52,2,"4",55
"Mic92","python-mpd2","Python",137,6,23,33,"7",90
"ccocchi","rabl-rails","Ruby",144,6,34,40,"3",108
"hhatto","autopep8","Python",664,9,63,145,"4",1802
"jkeiser","knife-essentials","Ruby",91,6,13,96,"4",87
"philippbosch","django-geoposition","Python",135,13,24,20,"4",54
"dwilkie","carrierwave_direct","Ruby",292,29,76,84,"4",216
"benoitc","restkit","Python",300,19,28,114,"7",99
"redline-smalltalk","redline-smalltalk","Java",213,17,154,31,"5",124
"ubergeek42","weechat-android","Java",162,13,53,147,"3",99
"yui","yuicompressor","Java",1256,28,82,127,"8",150
"streadway","amqp","Go",377,17,52,103,"3",244
"tomakehurst","wiremock","Java",410,24,97,192,"4",71
"hugodias","railStrap","Ruby",374,4,8,4,"3",62
"miekg","dns","Go",674,39,128,98,"4",417
"rapid7","nexpose-client","Ruby",76,27,109,68,"4",381
"holman","boom","Ruby",236,17,73,12,"5",101
"danmayer","churn","Ruby",101,13,16,22,"5",80
"songkick","oauth2-provider","Ruby",219,16,41,20,"5",144
"youpy","ruby-lastfm","Ruby",81,35,53,7,"5",114
"paulocheque","django-dynamic-fixture","Python",121,18,32,34,"3",165
"felipecsl","wombat","Ruby",374,10,21,25,"4",143
"drnic","appscrolls","Ruby",136,10,29,3,"4",70
"gcao","aspector","Ruby",51,0,0,14,"4",99
"mdeering","attribute_normalizer","Ruby",78,21,26,32,"5",61
"wbailey","command_line_reporter","Ruby",185,11,14,8,"4",53
"roidrage","lograge","Ruby",720,33,82,55,"3",271
"ioquatix","rubydns","Ruby",248,13,29,19,"4",237
"kei-s","github-preview","Ruby",58,5,58,4,"4",123
"rudionrails","yell","Ruby",199,7,12,26,"4",288
"fnichol","chef-ruby_build","Ruby",87,4,20,12,"4",62
"Unicon","cas-addons","Java",51,3,8,48,"3",272
"Arcath","Adauth","Ruby",129,9,14,44,"4",117
"biojava","biojava","Java",103,22,161,124,"6",832
"hovel","pybbm","Python",117,24,105,70,"4",414
"nicolargo","glances","Python",2149,38,191,432,"4",1434
"plusonelabs","calendar-widget","Java",158,9,22,150,"3",65
"azkaban","azkaban","Java",229,26,106,112,"5",465
"timmolter","XChart","Java",163,9,20,76,"4",187
"wvanbergen","chunky_png","Ruby",198,24,44,33,"5",166
"mpatric","mp3agic","Java",217,9,28,45,"5",113
"mopidy","mopidy","Python",2088,56,456,763,"6",2880
"laurentpetit","ccw","Java",148,12,71,82,"6",489
"ongaeshi","milkode","Ruby",107,12,24,52,"4",221
"faye","faye-websocket-ruby","Ruby",299,8,17,43,"4",263
"inukshuk","bibtex-ruby","Ruby",93,14,32,76,"4",198
"makinacorpus","spynner","Python",275,9,13,67,"6",64
"lwe","simple_enum","Ruby",122,19,42,43,"4",215
"thorin","redmine_ldap_sync","Ruby",69,9,15,138,"4",208
"celery","billiard","Python",93,31,56,87,"5",106
"square","cane","Ruby",866,27,52,36,"4",67
"feedhq","feedhq","Python",154,7,20,68,"3",292
"pboling","sanitize_email","Ruby",113,14,14,6,"7",128
"rubygems","gemcutter","Ruby",62,12,5,4,"6",91
"ifad","chronomodel","Ruby",55,4,7,17,"3",96
"jsocol","django-ratelimit","Python",121,15,39,27,"4",160
"shazow","unstdlib.py","Python",88,6,35,11,"4",100
"samskivert","jmustache","Java",132,15,35,22,"5",54
"kmmbvnr","django-fsm","Python",213,27,51,38,"5",140
"clawpack","pyclaw","Python",60,15,308,213,"5",602
"spockframework","spock","Java",486,23,67,37,"4",309
"agoragames","stache","Ruby",77,17,25,21,"4",92
"kivanio","brcobranca","Ruby",67,26,44,33,"6",76
"searls","jasmine-rails","Ruby",161,43,73,87,"4",250
"tinkerpop","frames","Java",142,7,38,74,"4",175
"rootpy","rootpy","Python",69,10,505,144,"5",1597
"reinh","statsd","Ruby",164,23,45,10,"4",86
"GreenSteam","pep257","Python",97,18,68,45,"3",146
"valotrading","stirling","Java",54,1,165,3,"5",196
"mixonic","ranked-model","Ruby",211,21,44,46,"4",99
"tomerfiliba","rpyc","Python",112,14,41,83,"4",171
"cowboyd","libv8","Ruby",82,27,57,84,"4",365
"honeybadger-io","honeybadger-ruby","Ruby",83,29,59,89,"3",1052
"sensu","sensu-puppet","Ruby",118,68,273,107,"3",746
"ianare","exif-py","Python",161,14,18,34,"3",80
"lemire","javaewah","Java",91,6,31,18,"5",249
"kelemen","netbeans-gradle-project","Java",83,6,24,186,"3",155
"mhfs","devise-async","Ruby",268,19,34,43,"3",145
"k-tsj","pattern-match","Ruby",148,2,2,3,"3",73
"FasterXML","jackson-dataformat-xml","Java",98,10,14,142,"5",56
"ptahproject","ptah","Python",80,7,15,134,"4",217
"musicbrainz","picard","Python",556,35,410,0,"9",1124
"ralphbean","ansi2html","Python",53,11,29,12,"4",150
"pgjdbc","pgjdbc","Java",129,54,215,132,"10",457
"seejohnrun","ice_cube","Ruby",436,42,81,152,"5",298
"sozialhelden","rosemary","Ruby",52,3,5,7,"4",83
"applegrew","django-select2","Python",188,31,72,113,"3",136
"rails","sprockets-rails","Ruby",168,31,134,124,"4",702
"mdp","rotp","Ruby",218,17,27,16,"4",82
"sublee","trueskill","Python",130,2,1,6,"3",133
"livingsocial","rake-pipeline","Ruby",188,9,95,51,"4",137
"cereda","arara","Java",87,9,17,52,"3",85
"ambethia","recaptcha","Ruby",856,51,60,76,"8",90
"marcinkuzminski","rhodecode","Python",65,12,1,2,"5",112
"rohe","pyoidc","Python",138,13,82,24,"3",214
"cgriego","active_attr","Ruby",582,12,30,37,"4",224
"fabiomaffioletti","jsondoc","Java",120,7,17,101,"3",176
"RobSpectre","Twilio-Hackpack-for-Heroku-and-Flask","Python",57,6,8,4,"3",62
"jbalogh","jingo","Python",56,21,51,19,"5",121
"theunraveler","taskwarrior-web","Ruby",108,3,3,63,"4",203
"github","maven-plugins","Java",162,16,24,68,"4",63
"mikaelhg","urlbuilder","Java",66,8,21,12,"4",109
"mdub","clamp","Ruby",180,11,25,33,"4",83
"ryanto","acts_as_votable","Ruby",463,26,50,74,"5",94
"thoughtbot","flutie","Ruby",465,8,29,30,"6",128
"toy","image_optim","Ruby",401,13,20,67,"3",411
"versae","neo4j-rest-client","Python",166,16,46,76,"5",114
"bbangert","routes","Python",92,24,25,28,"8",106
"crohr","pkgr","Ruby",198,14,31,41,"4",83
"julianhyde","optiq","Java",157,19,99,210,"3",798
"smooks","smooks","Java",113,13,75,25,"5",65
"gma","nesta","Ruby",861,18,75,100,"5",183
"kiskolabs","humanizer","Ruby",195,25,31,18,"5",61
"collectiveidea","tinder","Ruby",241,34,36,44,"9",92
"neophob","PixelController","Java",129,6,25,74,"4",1096
"paramiko","paramiko","Python",1731,64,228,324,"12",869
"ipython","nbconvert","Python",212,20,117,87,"3",345
"ananthakumaran","fake_dynamo","Ruby",139,10,21,22,"3",125
"thuss","standalone-migrations","Ruby",306,22,57,59,"6",70
"GraylinKim","sc2reader","Python",189,9,41,152,"4",105
"Casecommons","with_model","Ruby",53,3,10,12,"5",150
"louismullie","stanford-core-nlp","Ruby",196,7,12,27,"3",97
"certik","theoretical-physics","Python",59,1,27,21,"6",127
"jdigger","git-process","Ruby",70,3,20,113,"3",361
"fastestforward","heroku_san","Ruby",589,27,71,100,"5",143
"svenfuchs","gem-release","Ruby",184,13,23,22,"5",197
"ui","rq-scheduler","Python",221,20,32,52,"3",71
"sigmavirus24","Todo.txt-python","Python",53,1,1,4,"3",88
"guard","guard-spork","Ruby",272,29,59,87,"5",156
"pulse00","Symfony-2-Eclipse-Plugin","Java",231,2,14,220,"4",214
"osrg","ryu","Python",254,43,29,8,"4",650
"wardi","urwid","Python",373,41,68,62,"11",167
"openparty","openparty","Python",80,7,26,37,"5",53
"PolicyStat","terrarium","Python",136,7,34,23,"3",211
"codeinthehole","django-cacheback","Python",158,13,26,17,"3",94
"windy","wblog","Ruby",135,0,1,38,"3",81
"mattupstate","flask-principal","Python",170,11,20,19,"5",56
"t-oster","VisiCut","Java",56,14,69,209,"4",291
"python-excel","xlrd","Python",347,14,42,100,"8",125
"Findwise","Hydra","Java",79,10,229,134,"3",382
"neuland","jade4j","Java",238,13,27,72,"3",134
"dkubb","veritas","Ruby",210,2,18,10,"4",433
"innoq","iqvoc","Ruby",64,4,76,266,"4",1036
"z4r","python-rtkit","Python",51,10,20,23,"4",99
"pculture","mirovideoconverter3","Python",69,1,14,11,"3",359
"laradji","zabbix","Ruby",83,22,154,55,"3",388
"woorea","openstack-java-sdk","Java",134,29,116,64,"3",242
"geopython","OWSLib","Python",88,38,149,105,"7",473
"follmann","middleman-favicon-maker","Ruby",85,7,10,23,"4",70
"dfm","emcee","Python",537,24,65,93,"5",344
"Pylons","webob","Python",160,39,101,114,"4",186
"toomore","grs","Python",122,1,3,20,"3",218
"radar","paranoia","Ruby",760,77,148,103,"5",405
"refinery","refinerycms-inquiries","Ruby",111,38,94,82,"5",156
"iancanderson","ingreedy","Ruby",70,3,10,5,"4",58
"jfoote","exploitable","Python",81,5,11,12,"3",106
"infused","dbf","Ruby",126,21,26,44,"6",258
"nvbn","everpad","Python",535,13,79,380,"3",71
"metaskills","less-rails","Ruby",251,16,27,79,"4",109
"jamesls","fakeredis","Python",120,23,50,35,"4",177
"nathanl","authority","Ruby",714,10,40,61,"3",282
"scrapinghub","scrapylib","Python",159,16,54,9,"4",124
"floere","phony","Ruby",298,61,130,132,"5",724
"rohe","pysaml2","Python",86,35,160,74,"4",160
"jaredonline","google-authenticator","Ruby",112,8,19,8,"3",110
"pycollada","pycollada","Python",88,7,13,39,"4",87
"mvantellingen","localshop","Python",171,31,74,91,"3",367
"Tivix","django-cron","Python",190,13,32,28,"4",149
"laserlemon","vestal_versions","Ruby",847,8,24,89,"6",53
"rubyspec","rubyspec","Ruby",698,245,254,75,"7",436
"pydata","patsy","Python",187,7,14,52,"4",220
"nov","paypal-express","Ruby",246,21,40,42,"4",117
"mysociety","mapit","Python",140,8,68,131,"5",515
"slagyr","limelight","Java",110,3,6,8,"5",126
"elektronaut","sugar","Ruby",97,6,39,43,"5",526
"nipy","nibabel","Python",91,26,232,93,"10",476
"privly","privly-web","Ruby",62,12,55,103,"4",111
"recurly","recurly-client-ruby","Ruby",124,33,118,34,"5",499
"luispedro","mahotas","Python",190,12,28,38,"4",280
"azagniotov","stubby4j","Java",76,5,11,37,"3",748
"invisibleroads","socketIO-client","Python",125,15,37,49,"3",68
"btm","minitest-handler-cookbook","Ruby",59,14,38,39,"3",122
"burnash","gspread","Python",774,22,52,209,"4",82
"tapajos","highrise","Ruby",112,16,31,40,"6",97
"pzol","monadic","Ruby",182,3,8,3,"3",86
"bitly","go-simplejson","Go",556,16,30,16,"3",67
"DozerMapper","dozer","Java",268,14,71,173,"6",185
"svenfuchs","hashr","Ruby",97,3,5,5,"4",52
"fluent","fluent-logger-ruby","Ruby",116,9,21,6,"4",101
"maxmind","geoip-api-java","Java",99,9,17,14,"13",74
"pbs","pycaption","Python",67,12,73,35,"3",296
"geeknam","python-gcm","Python",208,22,31,37,"3",126
"kmuto","review","Ruby",267,28,187,238,"5",863
"bostonrb","bostonrb","Ruby",200,31,59,115,"7",123
"zynga","jasy","Python",114,2,60,75,"5",279
"thoughtbot","kumade","Ruby",164,8,56,0,"4",213
"kreynolds","cassandra-cql","Ruby",78,14,45,26,"4",80
"jsocol","pystatsd","Python",151,18,41,21,"4",169
"Asquera","elasticsearch-http-basic","Java",133,6,15,31,"4",85
"JFXtras","jfxtras-labs","Java",97,17,66,44,"3",246
"bendyworks","bwoken","Ruby",282,9,34,62,"3",169
"data-axle","cassandra_object","Ruby",56,5,25,32,"4",269
"engineyard","engineyard-serverside","Ruby",66,30,96,37,"5",526
"WoLpH","python-statsd","Python",82,14,20,18,"4",86
"dalen","puppet-puppetdbquery","Ruby",150,13,20,32,"3",99
"mongoid","origin","Ruby",70,14,29,76,"4",369
"timmolter","XChange","Java",285,59,550,434,"3",1640
"getlantern","lantern","Java",872,18,299,2394,"4",2547
"amatsuda","active_decorator","Ruby",381,22,34,9,"4",107
"dabeaz","ply","Python",247,4,26,43,"9",56
"jaswope","rack-reverse-proxy","Ruby",151,16,43,11,"5",51
"erniebrodeur","ruby-beautify","Ruby",66,12,15,9,"3",61
"dgrijalva","jwt-go","Go",540,15,38,31,"3",58
"foursquare","twofishes","Java",233,15,35,37,"3",483
"collective","icalendar","Python",190,25,67,97,"10",130
"thoughtbot","neat","Ruby",1681,34,120,251,"3",263
"magro","kryo-serializers","Java",113,11,18,21,"5",119
"perplexes","m2r","Ruby",100,3,14,49,"5",81
"muffinista","chatterbot","Ruby",218,7,11,20,"4",137
"rosedu","wouso","Python",110,35,295,454,"5",438
"engineyard","engineyard","Ruby",118,29,82,126,"5",405
"EmmanuelOga","ffaker","Ruby",685,80,163,51,"5",359
"qos-ch","slf4j","Java",273,39,119,0,"6",125
"sevntu-checkstyle","sevntu.checkstyle","Java",69,20,214,152,"4",729
"ronnix","fabtools","Python",793,51,191,111,"4",353
"secondmarket","mongeez","Java",103,6,25,25,"4",63
"mattray","spiceweasel","Ruby",184,11,36,54,"4",185
"activewarehouse","activewarehouse-etl","Ruby",178,23,33,117,"7",101
"htty","htty","Ruby",606,6,46,79,"5",138
"miracle2k","flask-assets","Python",177,25,43,50,"5",96
"flyerhzm","uniform_notifier","Ruby",105,17,23,7,"5",59
"weppos","breadcrumbs_on_rails","Ruby",375,9,28,45,"6",52
"tomp2p","TomP2P","Java",161,12,49,54,"4",251
"makandra","consul","Ruby",121,7,11,16,"4",69
"alexch","rerun","Ruby",316,6,23,50,"6",62
"fredrik-johansson","mpmath","Python",78,12,24,21,"6",55
"puppetlabs","puppetlabs-f5","Ruby",52,8,118,0,"4",79
"disqus","nydus","Python",212,15,27,9,"4",165
"joshk","completeness-fu","Ruby",159,1,5,6,"6",82
"jackpal","Taipei-Torrent","Go",329,11,58,34,"5",106
"webbit","webbit","Java",524,21,72,68,"4",73
"jgorset","django-kronos","Python",108,10,25,17,"4",76
"ofri","Open-Knesset","Python",103,74,111,40,"6",200
"antlr","antlr4","Java",857,35,431,521,"5",60
"pocmo","Yaaic","Java",158,13,31,135,"5",63
"jbehave","jbehave-core","Java",78,29,81,0,"5",160
"ionelmc","django-prefetch","Python",75,5,6,2,"3",61
"zmoazeni","csscss","Ruby",308,7,15,70,"3",112
"ui","django-post_office","Python",183,18,46,55,"3",322
"apache","jackrabbit-oak","Java",98,13,28,0,"3",6213
"nbudin","devise_cas_authenticatable","Ruby",81,24,38,32,"5",141
"ruby-ldap","ruby-net-ldap","Ruby",128,51,126,78,"9",463
"modocache","django-generate-scaffold","Python",102,2,17,12,"3",64
"pinax","pinax-project-account","Python",127,11,12,8,"3",63
"hiki","hiki","Ruby",73,10,36,14,"5",214
"pronix","spree-multi-currency","Ruby",55,19,16,15,"5",51
"bfirsh","needle","Python",150,7,25,21,"5",59
"olbrich","ruby-units","Ruby",153,17,45,82,"6",122
"nov","json-jwt","Ruby",70,8,11,8,"4",226
"openid","ruby-openid","Ruby",53,25,44,18,"5",118
"ivalkeen","guard-ctags-bundler","Ruby",87,12,18,9,"4",55
"rails","journey","Ruby",171,20,40,56,"4",98
"mmb","weechat-otr","Python",56,4,46,71,"3",277
"sosedoff","lxc-ruby","Ruby",97,3,13,1,"3",105
"koraktor","steam-condenser-ruby","Ruby",72,13,21,0,"5",246
"perwendel","spark","Java",1790,45,148,149,"4",336
"ushahidi","SMSSync","Java",230,25,71,197,"4",574
"mattsears","nyan-cat-formatter","Ruby",193,29,42,25,"4",109
"Shopify","shopify_api","Ruby",116,46,118,65,"5",503
"edoburu","django-fluent-contents","Python",68,7,14,32,"4",171
"getsentry","sentry","Python",6770,231,570,1059,"7",7024
"ryanpetrello","python-zombie","Python",59,3,8,5,"4",95
"thoughtbot","cocaine","Ruby",290,31,47,25,"4",201
"satyan","sugar","Java",809,36,94,257,"4",192
"pistolero","python-scss","Python",83,6,14,8,"3",75
"opro","opro","Ruby",76,14,24,17,"3",64
"byroot","pysrt","Python",55,7,15,24,"4",121
"opscode-cookbooks","sudo","Ruby",71,34,59,10,"4",51
"objects-on-rails","display-case","Ruby",154,13,28,15,"3",86
"samuel","go-thrift","Go",117,6,14,22,"3",60
"apache","pdfbox","Java",168,6,9,0,"2",2833
"tjerkw","Android-SlideExpandableListView","Java",706,11,27,74,"3",109
"enthought","mayavi","Python",109,17,74,106,"4",382
"rdegges","django-twilio","Python",147,17,49,38,"4",193
"dreamhost","stevedore","Python",117,7,18,18,"3",60
"getsentry","raven-python","Python",913,205,324,298,"7",1174
"dokterbob","django-newsletter","Python",106,10,45,82,"5",318
"asakusarb","action_args","Ruby",151,7,7,2,"3",111
"plataformatec","show_for","Ruby",382,18,39,41,"6",90
"joonty","vdebug","Python",255,15,43,171,"3",187
"disqus","django-bitfield","Python",103,20,33,19,"4",119
"lian","bitcoin-ruby","Ruby",171,46,97,71,"4",240
"sebleier","django-redis-cache","Python",213,19,41,23,"5",190
"moumar","ruby-mp3info","Ruby",140,18,27,38,"7",95
"helun","Ektorp","Java",76,29,122,79,"4",211
"larrycai","sdcamp","Ruby",73,2,2,1,"4",79
"joeyates","imap-backup","Ruby",90,1,2,25,"3",101
"makinacorpus","landez","Python",67,8,14,11,"3",84
"arunagw","omniauth-twitter","Ruby",166,33,53,31,"4",131
"projecthydra","hydra-head","Ruby",79,12,193,78,"4",957
"rest-driver","rest-driver","Java",90,10,47,119,"4",148
"DAddYE","mini_record","Ruby",245,11,24,28,"4",100
"geopy","geopy","Python",477,42,82,51,"4",181
"sgruhier","foundation_rails_helper","Ruby",126,24,72,37,"3",200
"celluloid","celluloid-zmq","Ruby",83,15,33,14,"4",167
"shawn42","gamebox","Ruby",187,6,17,82,"4",225
"TwP","logging","Ruby",120,22,46,46,"4",103
"mreiferson","go-httpclient","Go",158,7,15,8,"3",105
"jnraine","munkiserver","Ruby",97,10,108,90,"5",72
"enthought","traitsui","Python",61,16,142,77,"8",346
"hacketyhack","hackety-hack.com","Ruby",71,20,89,67,"5",255
"thoughtbot","appraisal","Ruby",236,28,49,50,"5",262
"jenseng","hair_trigger","Ruby",87,7,8,22,"4",75
"yolk","valvat","Ruby",85,21,30,17,"4",100
"zestsoftware","zest.releaser","Python",51,22,54,64,"6",396
"test-unit","test-unit","Ruby",99,24,36,70,"4",533
"ruby-rdf","rdf","Ruby",51,19,78,117,"5",503
"tendenci","tendenci","Python",104,23,24,104,"4",1705
"t0xa","gelfj","Java",61,25,51,21,"4",107
"gottfrois","link_thumbnailer","Ruby",183,14,22,43,"3",154
"recurly","recurly-client-python","Python",60,25,72,44,"5",260
"nricciar","wikicloth","Ruby",123,18,29,56,"5",86
"arsduo","batch_api","Ruby",152,5,29,4,"3",124
"szegedi","dynalink","Java",130,2,5,5,"5",136
"sunlightlabs","scout","Ruby",51,8,45,455,"4",1107
"mitsuhiko","logbook","Python",340,32,77,46,"5",215
"tomchristie","webdriverplus","Python",55,5,22,16,"4",55
"kmike","django-webtest","Python",86,14,18,19,"4",68
"dblock","mongoid-cached-json","Ruby",59,4,9,6,"3",94
"radar","by_star","Ruby",498,11,24,32,"7",133
"bottlepy","bottle","Python",542,101,55,68,"6",263
"scrapy","scrapely","Python",322,15,49,22,"4",53
"sferik","multi_xml","Ruby",52,11,24,22,"5",245
"jhalterman","typetools","Java",112,2,2,5,"5",63
"smartlogic","http_spec","Ruby",120,1,0,5,"3",56
"mattdbridges","validates_formatting_of","Ruby",69,7,15,14,"4",127
"mattetti","Weasel-Diesel","Ruby",301,4,20,16,"4",76
"Freeseer","freeseer","Python",193,28,233,453,"5",1696
"Shopify","statsd-instrument","Ruby",122,30,52,4,"4",273
"griffon","griffon","Java",110,12,23,51,"4",240
"aasm","aasm","Ruby",616,44,77,123,"3",464
"gregmuellegger","django-autofixture","Python",129,20,35,30,"5",137
"jayway","JsonPath","Java",365,16,79,26,"4",191
"cournape","Bento","Python",116,6,19,132,"5",112
"okfn","messytables","Python",119,26,77,51,"4",384
"zenhob","hcl","Ruby",69,9,16,50,"6",156
"jedie","django-reversion-compare","Python",53,24,22,20,"4",99
"huerlisi","bookyt","Ruby",129,3,8,37,"4",718
"zilkey","active_hash","Ruby",316,11,47,62,"6",73
"integrity","integrity","Ruby",707,78,152,140,"7",303
"thialfihar","apg","Java",174,14,14,56,"5",86
"michelson","lazy_high_charts","Ruby",296,29,69,85,"5",155
"txels","autojenkins","Python",75,10,17,7,"4",52
"discogs","discogs_client","Python",94,14,32,19,"4",116
"obfuscurity","backstop","Ruby",211,4,13,11,"3",53
"turboladen","tailor","Ruby",96,7,22,142,"4",109
"jodal","pykka","Python",281,5,8,38,"4",168
"hgrecco","pint","Python",184,35,81,195,"3",426
"dannnylo","rtesseract","Ruby",97,12,12,17,"5",118
"heynemann","pyvows","Python",77,11,78,39,"4",296
"rslifka","elasticity","Ruby",86,5,26,61,"4",407
"seomoz","dragnet","Python",101,4,14,3,"3",51
"xijo","reverse_markdown","Ruby",175,20,32,21,"6",137
"jimweirich","builder","Ruby",164,12,25,26,"12",55
"kennethkalmer","daemon-kit","Ruby",80,12,42,23,"5",74
"erikrose","blessings","Python",261,5,54,54,"4",304
"fcurella","django-recommends","Python",74,6,10,6,"4",209
"tpjg","goriakpbc","Go",122,17,78,23,"3",263
"benoitc","couchdbkit","Python",55,35,68,31,"6",97
"mikiobraun","jblas","Java",170,14,24,33,"5",94
"wvanbergen","adyen","Ruby",52,23,72,23,"6",311
"twpayne","tilecloud","Python",59,2,38,4,"4",82
"welaika","wordmove","Ruby",392,11,41,132,"4",106
"lonelyplanet","fozzie","Ruby",99,3,15,12,"4",78
"RDFLib","rdflib-jsonld","Python",66,6,5,24,"3",71
"fazibear","colorize","Ruby",316,10,23,18,"8",134
"NicosKaralis","pushmeup","Ruby",260,7,33,34,"3",108
"sethoscope","heatmap","Python",119,4,14,10,"4",89
"chrisdev","django-pandas","Python",105,9,22,23,"3",97
"evendis","mandrill-rails","Ruby",195,7,11,18,"3",76
"scrapy","w3lib","Python",102,12,25,9,"4",83
"heroku","umpire","Ruby",99,18,24,5,"3",96
"travis-ci","travis-lint","Ruby",101,22,29,24,"3",116
"kivy","pyjnius","Python",268,27,56,98,"3",106
"daler","pybedtools","Python",51,8,38,68,"4",117
"mfornos","humanize","Java",85,1,2,33,"3",194
"apache","commons-lang","Java",212,36,103,0,"13",181
"thibaudgg","video_info","Ruby",128,20,46,33,"6",320
"Homebrew","homebrew-science","Ruby",524,400,1741,758,"6",763
"bensie","sshkey","Ruby",99,9,13,4,"4",124
"pivotal","LicenseFinder","Ruby",231,31,85,59,"4",753
"tristandunn","pusher-fake","Ruby",75,6,10,32,"4",173
"treyhunner","django-simple-history","Python",177,22,91,81,"4",592
