"login","name","language","num_watchers","num_external_contributors","num_prs","num_issues","active_years","num_travis_builds"
"edelight","chef-solo-search","Ruby",119,18,39,33,"4",105
"podio","podio-rb","Ruby",56,15,18,15,"4",695
"sympy","sympy","Python",2130,416,4088,1547,"15",15192
"whit537","www.gittip.com","Python",212,17,33,420,"4",382
"mongodb","mongo-java-driver","Java",1413,77,318,0,"6",1800
"wildbit","postmark-rails","Ruby",55,12,10,26,"6",54
"lusis","chef-logstash","Ruby",204,91,280,132,"3",747
"integrallis","stripe_event","Ruby",251,12,24,33,"3",157
"intridea","omniauth","Ruby",5409,142,315,500,"5",509
"benoitc","gunicorn","Python",2389,175,415,645,"6",1196
"opscode-cookbooks","chef-client","Ruby",118,75,256,63,"5",148
"gregmalcolm","python_koans","Python",708,43,84,21,"5",119
"jsocol","bleach","Python",295,20,54,76,"5",151
"fail2ban","fail2ban","Python",905,87,580,503,"11",2161
"schacon","ruby-git","Ruby",750,47,113,118,"8",263
"trinidad","trinidad","Ruby",152,6,20,53,"4",145
"radar","forem","Ruby",1523,111,297,362,"4",1009
"pivotal","projectmonitor","Ruby",177,27,48,33,"5",713
"retspen","webvirtmgr","Python",437,44,127,429,"3",352
"caelum","tubaina","Java",81,7,10,40,"4",101
"jnunemaker","httparty","Ruby",3094,123,179,234,"7",351
"pinax","symposion","Python",149,11,55,38,"4",115
"padrino","padrino-framework","Ruby",2594,185,729,1209,"6",2081
"mbleigh","acts-as-taggable-on","Ruby",3628,123,235,431,"8",700
"jorgebastida","glue","Python",1190,17,56,111,"3",273
"sethvargo","bootstrap_forms","Ruby",174,26,77,17,"4",169
"jtriley","StarCluster","Python",168,25,156,315,"4",573
"mapnik","node-mapnik","Python",171,23,94,377,"4",1628
"solnic","virtus","Ruby",2346,50,140,189,"4",836
"zeromq","pyzmq","Python",1058,72,344,355,"5",860
"mileszs","wicked_pdf","Ruby",669,60,119,235,"5",177
"travis-ci","travis-cookbooks","Ruby",412,94,340,140,"4",1606
"rtfd","readthedocs.org","Python",1748,168,442,971,"5",2890
"rails","sass-rails","Ruby",254,41,95,244,"4",385
"RailsApps","rails_apps_composer","Ruby",1238,68,142,195,"4",397
"excilys","androidannotations","Java",4826,47,427,1060,"5",773
"torquebox","torquebox","Java",445,59,180,35,"6",297
"rails","strong_parameters","Ruby",1191,50,128,98,"3",234
"rubinius","rubinius","Ruby",2576,301,1155,2290,"9",5109
"nvie","rq","Python",2062,87,223,335,"4",704
"resolve","refinerycms-blog","Ruby",53,29,80,0,"5",210
"inukshuk","jekyll-scholar","Ruby",218,11,18,71,"4",174
"svenfuchs","rails-i18n","Ruby",2506,308,434,127,"7",578
"avoinministerio","avoinministerio","Ruby",90,18,399,10,"3",590
"celery","kombu","Python",675,101,213,281,"5",941
"plataformatec","devise","Ruby",13414,453,800,2865,"6",1865
"PyMVPA","PyMVPA","Python",107,16,166,173,"4",993
"puma","puma","Ruby",3723,160,270,460,"9",803
"collective","collective.developermanual","Python",104,45,178,84,"6",726
"activescaffold","active_scaffold","Ruby",124,47,126,308,"7",621
"localwiki","localwiki","Python",315,19,107,672,"5",1449
"kytrinyx","etsy","Ruby",127,12,57,49,"6",156
"jruby","warbler","Ruby",707,45,98,238,"8",347
"troessner","reek","Ruby",1030,39,294,268,"6",2182
"rbarrois","xworkflows","Python",103,1,4,5,"4",63
"zdavatz","spreadsheet","Ruby",282,37,46,97,"7",104
"coleifer","peewee","Python",1366,49,146,499,"5",955
"naparuba","shinken","Python",688,97,645,1027,"6",869
"liato","android-bankdroid","Java",75,23,234,312,"5",270
"sferik","rails_admin","Ruby",5653,328,759,1599,"5",1866
"mattn","go-sqlite3","Go",536,40,75,131,"4",265
"mperham","connection_pool","Ruby",319,15,47,21,"4",62
"jruby","jruby-rack","Ruby",73,19,48,62,"5",219
"thoughtbot","suspenders","Ruby",1664,64,386,203,"5",2062
"gwtbootstrap","gwt-bootstrap","Java",426,47,155,360,"3",215
"client9","libinjection","Python",149,11,13,62,"3",63
"serge-sans-paille","pythran","Python",262,15,337,123,"3",631
"rhuss","jolokia","Java",190,18,51,150,"5",526
"jedi4ever","veewee","Ruby",3567,282,664,397,"5",581
"idan","oauthlib","Python",934,66,209,147,"4",726
"mkdynamic","omniauth-facebook","Ruby",559,23,59,154,"4",243
"benadida","helios-server","Python",120,8,23,68,"6",76
"quantmind","pulsar","Python",274,10,22,128,"4",851
"PyTables","PyTables","Python",171,29,105,327,"4",553
"kyrylo","pry-theme","Ruby",96,5,8,38,"3",97
"bndtools","bnd","Java",203,25,434,564,"8",881
"intridea","hashie","Ruby",1513,89,187,118,"6",625
"notnoop","java-apns","Java",469,29,54,129,"6",190
