build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
749000701,cb7178f1cee77a274f565cc9a38e2276791bbcf2,6696,master,failed,4918,2020-12-11 14:22:32 UTC,749000702,749000703,749000704,749000705,749000706,749000707,749000708,749000709,749000710,749000711,749000712,749000713,749000714,pull_request
749000550,f38f88df22bf30d0aa3d185ddb0f2b7c3d50245b,,master,failed,4587,2020-12-11 10:36:54 UTC,749000551,749000552,749000553,749000554,749000555,749000556,749000557,749000558,749000559,749000560,749000561,749000562,749000563,push
748848831,1888f32bdfb5fa3490ee9debd5c0a2c113f20dfb,,master,failed,4671,2020-12-11 04:49:23 UTC,748848832,748848833,748848834,748848835,748848836,748848837,748848838,748848839,748848840,748848841,748848842,748848843,748848844,push
748828118,a04c08d9776c95b4b12b17ad16391580dfb4f35b,,master,canceled,0,,748828119,748828120,748828121,748828122,748828123,748828124,748828125,748828126,748828127,748828128,748828129,748828130,748828131,push
748795182,1715868eb0ab3ef4b99fd8906d6c60d58f3e68a4,,3.x,passed,11664,2020-12-11 02:47:25 UTC,748795183,748795184,748795185,748795186,748795187,748795188,748795189,748795190,748795191,748795192,748795193,748795194,748795195,push
748790336,9e0129cd73f76018c9ac886d13d10f0a37cac9ce,6710,master,failed,4678,2020-12-10 23:27:42 UTC,748790337,748790338,748790339,748790340,748790341,748790342,748790343,748790344,748790345,748790346,748790347,748790348,748790349,pull_request
748790304,beaa4a0f38b182ef96b7b6059dc6f9498426d47d,6695,master,failed,4851,2020-12-10 21:08:22 UTC,748790305,748790306,748790307,748790308,748790309,748790310,748790311,748790312,748790313,748790314,748790315,748790316,748790317,pull_request
748790290,2c9a90281b5c941c961beeb0e4bcf42899c23ae2,6696,master,failed,4903,2020-12-10 18:52:38 UTC,748790291,748790292,748790293,748790294,748790295,748790296,748790297,748790298,748790299,748790300,748790301,748790302,748790303,pull_request
748790114,f5544248e24a0ad6f1415dc2d4f687004ac4ae19,,master,failed,4786,2020-12-10 17:08:04 UTC,748790115,748790116,748790117,748790118,748790119,748790120,748790121,748790122,748790123,748790124,748790125,748790126,748790127,push
748789672,48122a05a77848fd5c5c3ac37b341e2323b85ac2,6713,master,canceled,0,,748789673,748789674,748789675,748789677,748789678,748789682,748789684,748789685,748789687,748789688,748789689,748789690,748789691,pull_request
