build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
714657753,69dada905619a90463a43e409f5ee2337cae89c3,,master,passed,3201,2020-08-04 00:18:27 UTC,714657754,714657755,714657756,714657757,714657758,714657759,714657760,714657761,714657762,714657763,714657764,714657765,714657766,714657767,714657768,714657769,714657770,714657771,714657772,714657773,714657774,714657775,714657776,push
714657705,174519ccc8b733b0dad5762fed06dd4f481ef639,261,master,errored,443,2020-08-04 00:14:41 UTC,714657707,714657709,714657710,714657711,714657712,714657714,714657715,714657716,714657717,714657722,714657723,714657724,714657725,714657726,714657727,714657728,714657729,714657730,714657731,714657732,714657733,714657734,714657735,pull_request
714655261,4b551da4ac3ed6b45535ed77109efdc8ce4901b9,261,master,errored,3129,2020-08-04 00:03:15 UTC,714655262,714655263,714655264,714655265,714655266,714655267,714655268,714655269,714655270,714655271,714655272,714655273,714655274,714655275,714655276,714655277,714655278,714655279,714655280,714655281,714655282,714655283,714655284,pull_request
714632793,9ee2e8a82c9cb6f1ba52a66e7262f19bafbde314,264,master,passed,3270,2020-08-03 22:07:09 UTC,714632794,714632795,714632796,714632797,714632798,714632799,714632800,714632801,714632802,714632803,714632804,714632805,714632806,714632807,714632808,714632809,714632810,714632811,714632812,714632813,714632814,714632815,714632816,pull_request
714615660,3e50c169604c0ca248c41a285941e05c1c2e531c,260,master,passed,534,2020-08-03 20:59:15 UTC,714615661,714615662,714615663,714615664,714615665,714615666,714615667,714615668,714615669,714615670,714615671,714615672,714615673,714615674,714615675,714615676,714615677,714615678,714615679,714615680,714615681,714615682,714615683,pull_request
714610567,4a0adca1fa3d4c0c6504f62952b8ccd02c9c378f,260,master,passed,532,2020-08-03 20:36:16 UTC,714610568,714610569,714610570,714610571,714610572,714610573,714610574,714610575,714610576,714610577,714610578,714610579,714610580,714610581,714610582,714610583,714610584,714610585,714610586,714610587,714610588,714610589,714610590,pull_request
714604726,8616d35c64d0ddd58ab3e1905a425a859e6bd60f,263,master,passed,504,2020-08-03 20:11:05 UTC,714604727,714604728,714604729,714604730,714604731,714604732,714604733,714604734,714604735,714604736,714604737,714604738,714604739,714604740,714604741,714604742,714604743,714604744,714604745,714604746,714604747,714604748,714604749,pull_request
714586970,38d7a8c00e05aea25a55e0d6570a2821939d16a6,260,master,passed,496,2020-08-03 19:05:10 UTC,714586971,714586972,714586973,714586974,714586975,714586976,714586977,714586978,714586979,714586980,714586981,714586982,714586983,714586984,714586985,714586986,714586987,714586988,714586989,714586990,714586991,714586992,714586993,pull_request
714554838,b74b9102430140a74966293ec57149213a2a3949,260,master,passed,513,2020-08-03 17:11:15 UTC,714554839,714554840,714554841,714554842,714554843,714554844,714554845,714554846,714554847,714554848,714554849,714554850,714554851,714554852,714554853,714554854,714554855,714554856,714554857,714554858,714554859,714554860,714554861,pull_request
714453786,ca853fbe31de5aa3764cb671ce7f0786afeb4ac1,261,master,passed,3134,2020-08-03 12:37:14 UTC,714453787,714453788,714453789,714453790,714453791,714453792,714453793,714453794,714453795,714453796,714453797,714453798,714453799,714453800,714453801,714453802,714453803,714453804,714453805,714453806,714453807,714453808,714453809,pull_request
714444197,e7af46f224536b3952218baf58e92644ae7b4064,261,master,passed,3247,2020-08-03 12:01:03 UTC,714444198,714444199,714444200,714444201,714444202,714444203,714444204,714444205,714444206,714444207,714444208,714444209,714444210,714444211,714444212,714444213,714444214,714444215,714444216,714444217,714444218,714444219,714444220,pull_request
713869423,c77feec1f7af694f08299542476a4f6363d59244,262,master,passed,3225,2020-08-01 00:11:27 UTC,713869424,713869425,713869426,713869427,713869428,713869429,713869430,713869431,713869432,713869433,713869434,713869435,713869436,713869437,713869438,713869439,713869440,713869441,713869442,713869443,713869444,713869445,713869446,pull_request
713869300,0b5184918a3e99a4aa96c189ff1c890be6669ce1,261,master,passed,3270,2020-07-31 23:59:33 UTC,713869301,713869302,713869303,713869304,713869305,713869306,713869307,713869309,713869310,713869311,713869313,713869314,713869315,713869316,713869317,713869318,713869319,713869320,713869321,713869322,713869323,713869324,713869325,pull_request
