build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
371615274,c6f6e6e6e4ec8af13d1fd1303a9a51a07dd2278e,301,master,canceled,0,,371615275,371615276,371615277,371615278,371615279,pull_request
371615167,2b6cf34d79599a736f91dfbefee20fa6605cabc1,,simpler_generator,failed,2619,2018-04-26 15:24:42 UTC,371615168,371615169,371615170,371615171,371615172,push
371612605,e7d5c1a54a9e487b1c062113db8ebbe7ffed687b,301,master,canceled,0,,371612606,371612607,371612608,371612609,371612610,pull_request
371612565,6b1c0792bc03d9f31099a8fea86d6e16b461301f,,simpler_generator,canceled,0,,371612568,371612570,371612571,371612572,371612573,push
371611119,7ec7ed5c0bc24be0c7fa8b14ec9d42ec61454ca0,301,master,canceled,0,,371611120,371611121,371611122,371611123,371611124,pull_request
371611100,07934b0b078e522b4959629059eea6b145f34389,,simpler_generator,canceled,0,,371611101,371611102,371611103,371611104,371611105,push
371609992,4dcbf843b81b90de3d0387c35093374aa32944c0,301,master,canceled,0,,371609993,371609994,371609995,371609996,371609997,pull_request
371609980,0a4ad8bfbf79be4e7584f88851930086e3ed9fa2,,simpler_generator,passed,2965,2018-04-26 15:11:47 UTC,371609981,371609982,371609983,371609984,371609985,push
371608675,a794f07e138d8319dbd4bb532ce9be86f3c9a53a,301,master,canceled,0,,371608676,371608677,371608678,371608679,371608680,pull_request
371608662,9b2430a1dc5e4dfbe3cc785e885709177cf47511,,simpler_generator,passed,3166,2018-04-26 15:08:17 UTC,371608663,371608664,371608665,371608666,371608667,push
371570128,3255c5ffdf45609606fb89b0819a8e989ed0a910,301,master,passed,3833,2018-04-26 13:48:25 UTC,371570129,371570130,371570131,371570132,371570133,pull_request
371570096,77dd6fbb4623a1cc1548fcac552ac3732db842bd,,simpler_generator,passed,3054,2018-04-26 13:48:22 UTC,371570097,371570098,371570099,371570100,371570101,push
371468726,50ec8093d5cc10cb0d5cd9ff323d0fbd0b61cd3f,301,master,passed,3783,2018-04-26 09:29:04 UTC,371468727,371468728,371468729,371468730,371468731,pull_request
371468708,198096b1c70fdb566739d96adcd73b613444e2d1,,simpler_generator,passed,2997,2018-04-26 09:28:55 UTC,371468709,371468710,371468711,371468712,371468713,push
