build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
679944885,6be8bfce64ef4ce39fb772973bed0e6f3b592be0,,master,failed,55,2020-04-27 05:44:02 UTC,679944886,push
678675867,14dcc7c32f903c45bf55eebec0443aa35ef79b77,41,master,failed,63,2020-04-23 16:36:40 UTC,678675868,pull_request
605208040,c1f090729a3d09e3db8e36c1017a908aab60d3af,40,master,passed,146,2019-10-30 21:26:12 UTC,605208048,pull_request
605206135,2b72af2cfaecb284043756a8e93406ea1eeaa2de,40,master,failed,101,2019-10-30 21:21:49 UTC,605206136,pull_request
605203372,c06a4cf6a19cd666004ca4543c990b1cfeb3bcac,40,master,errored,77,2019-10-30 21:15:56 UTC,605203373,pull_request
605196612,9f9cd598f1ca9a758525ebf83e16089334088755,40,master,passed,144,2019-10-30 21:01:06 UTC,605196613,pull_request
605182278,334ac6761adee39bf9b3d40067321664b2bc3c5b,40,master,failed,61,2019-10-30 20:28:30 UTC,605182279,pull_request
605181261,bfcd6e33a0da7c6a2612341172fd575e5694e9dc,40,master,failed,68,2019-10-30 20:26:08 UTC,605181262,pull_request
605171793,663ca149cbf17439772b54ee219ef501b57c2a90,,dimitris/android-dep,failed,67,2019-10-30 20:01:54 UTC,605171794,push
605144162,b7e326e80927e43196e8300f81907479730d09da,24,master,failed,65,2019-10-30 18:57:49 UTC,605144163,pull_request
605144151,a876d9b13c43fcdf9fdb33d24fd7e50235c44241,,dimitris/android-dep,failed,63,2019-10-30 18:58:13 UTC,605144153,push
605141852,a6f710e276ea6b1275d14d161e11d2bd4a134125,24,master,failed,68,2019-10-30 18:52:34 UTC,605141854,pull_request
605141812,663ca149cbf17439772b54ee219ef501b57c2a90,,dimitris/android-dep,failed,64,2019-10-30 18:52:54 UTC,605141813,push
605141516,1636a77357df9d0a39cf0b0e64223492a8c1d0c8,24,master,failed,67,2019-10-30 18:51:56 UTC,605141517,pull_request
605141465,ad818caa086d69c4c102935a384c8c13d1f2f273,,dimitris/android-dep,canceled,0,,605141466,push
442898186,9bc79d0dfaebebe9877593e04f479c001b987626,39,master,failed,154,2018-10-17 21:06:58 UTC,442898187,pull_request
292303049,d91f18e80790832db11b811c462f8e5cd492d97e,,master,passed,140,2017-10-24 21:11:08 UTC,292303050,push
292298709,be9575d7487df15abdf21c78e0f6bb2632336d92,37,master,passed,145,2017-10-24 21:01:53 UTC,292298712,pull_request
163687074,41271618dc77009dfd388e34edff41dae92a47f0,28,master,failed,254,2016-09-29 11:43:39 UTC,163687075,163687076,pull_request
163681497,43fc6a7fa8d951f6ac309780e7995b506573c8cd,28,master,failed,286,2016-09-29 11:16:16 UTC,163681498,163681499,pull_request
163681017,a2a79534a58db291fb83baac10c333a3695a34e7,27,master,failed,372,2016-09-29 11:13:52 UTC,163681018,163681019,pull_request
116457664,5f8a5046a73766bc3d00528b8f7626aa2f44e86f,24,master,failed,419,2016-03-16 19:00:46 UTC,116457665,116457666,pull_request
116457661,d57d3d874824e79a021fd39485e03f040d8d789f,,dimitris/android-dep,failed,413,2016-03-16 19:00:45 UTC,116457662,116457663,push
116446359,93009d79ac1a53f4ff268b77c02370687797e2c2,,travis,failed,225,2016-03-16 18:11:56 UTC,116446360,116446361,push
116445955,93009d79ac1a53f4ff268b77c02370687797e2c2,,loganj/travis,failed,240,2016-03-16 18:09:31 UTC,116445956,116445957,push
116441747,ce4b7bfb66abcc81affd97a04411c99defd580a7,24,master,failed,436,2016-03-16 17:52:58 UTC,116441748,116441749,pull_request
116441744,bdc926168d251aab9515b63d739680af622dd1c4,,dimitris/android-dep,failed,363,2016-03-16 17:45:31 UTC,116441745,116441746,push
115457184,0ced94c8e72c364e7dcac8e6b3a5dc6c8e5e62e1,25,master,failed,390,2016-03-12 00:32:15 UTC,115457185,115457186,pull_request
115396662,8f475a8e6ad5bee776921c6cd5f9d06940f83513,24,master,failed,367,2016-03-11 19:21:12 UTC,115396663,115396664,pull_request
115396659,40375f6bfc081d6d30808ebac8d6e31581641cda,,dimitris/android-dep,failed,406,2016-03-11 19:21:12 UTC,115396660,115396661,push
115394533,f5bf2ad049a73964a099ffcb88dbd0cd20c849dc,24,master,failed,377,2016-03-11 19:11:09 UTC,115394534,115394535,pull_request
115394530,03832d30a3fc075ef27549c3237729c60ff23d81,,dimitris/android-dep,failed,371,2016-03-11 19:11:09 UTC,115394531,115394532,push
115391491,72594bd8995ffd60f20d4ae03ef4feef9219e7e8,24,master,failed,431,2016-03-11 19:00:12 UTC,115391492,115391493,pull_request
115391478,42ef4ee57f3f29eee00c35173cfacae753a23d20,,dimitris/android-dep,failed,431,2016-03-11 18:58:19 UTC,115391479,115391480,push
115391250,602902a46f91af5eae045dad7457ced71248d950,24,master,failed,418,2016-03-11 18:56:37 UTC,115391251,115391252,pull_request
115391245,3f8ace231d3bd296a1d37bde805b7dac9a3ec980,,dimitris/android-dep,failed,397,2016-03-11 18:55:38 UTC,115391246,115391247,push
115391134,ea945069b5a3e37ffd2fca626d26d8bf12f9275b,24,master,failed,355,2016-03-11 18:54:45 UTC,115391135,115391136,pull_request
115390505,796b3090a434f7edc5068961bea951c844255f82,,dimitris/android-dep,failed,371,2016-03-11 18:51:32 UTC,115390506,115390507,push
115390453,76da62ade9f6ad904ffc2d9c7184bfd98b381bd3,,dimitris/android-dep,errored,37,2016-03-11 18:51:10 UTC,115390454,115390455,push
110217208,0170d454e455d3809898a30a12f7d31a60a676d0,,loganj/releasing,errored,57,2016-02-18 20:15:13 UTC,110217209,110217210,push
109931502,449957707a79853c20555584b24fa9285edea278,,prep-release-1.2.0,passed,621,2016-02-17 18:18:13 UTC,109931503,109931504,push
109925817,43f4cc26ab0e9a0e593d65ce67fe3bbab3b913bc,,master,passed,561,2016-02-17 17:52:19 UTC,109925818,109925819,push
109918305,f592556fd3aaea7a61d2145d66230871ddfd91d6,,master,passed,539,2016-02-17 17:17:39 UTC,109918306,109918307,push
109881489,65fae2cf36cba8ae4b3dfb50e7a1a382d2060524,,master,passed,638,2016-02-17 14:47:28 UTC,109881490,109881492,push
109880809,65e9c84b84c9b7cd546328a04b1dc534495e4e0d,,1.1.0,passed,309,2016-02-17 14:45:16 UTC,109880810,109880812,push
109748284,a0ab73cf5e2ac77acc99f531ae3286799db3aa1e,22,master,passed,473,2016-02-17 01:02:17 UTC,109748285,109748286,pull_request
109746834,262852de4afb2184677471a576eb251bcda20f72,22,master,passed,455,2016-02-17 00:57:09 UTC,109746835,109746836,pull_request
109699097,1a03fb617e1efb5574f1e71493ba39f015afe367,,master,failed,445,2016-02-16 20:33:28 UTC,109699098,109699100,push
109698585,6d7c1ec244c2abb2002db87793fb614f1bbc3218,,into,errored,10,2016-02-16 20:32:20 UTC,109698587,109698589,push
109664409,d067c3638408f455e73bfcbc11c54cc37490ea9d,,master,passed,794,2016-02-16 17:52:09 UTC,109664410,109664411,push
109664016,cf0e8e2d2b8004a8f62c035ce4da69ffd22869b5,,master,passed,839,2016-02-16 17:50:08 UTC,109664017,109664018,push
107468857,f97befe574e5776d072dff40a3f53ce6486a8f88,20,master,passed,503,2016-02-06 17:31:41 UTC,107468858,107468859,pull_request
107467830,e56f240d9ea01a29f69b7d326e0e41d83e020e66,20,master,failed,326,2016-02-06 17:23:21 UTC,107467831,107467832,pull_request
107467119,af5287365a1bde7b7c5fdfae14032810bc9d7f88,20,master,failed,323,2016-02-06 17:17:15 UTC,107467121,107467123,pull_request
107466901,a98ee4596c42fe778ab3b503efb3d5fd0bcd42c8,20,master,failed,184,2016-02-06 17:14:43 UTC,107466902,107466903,pull_request
107465231,18ecdde328adf1003815968a549623663b0b7c06,20,master,failed,202,2016-02-06 17:02:46 UTC,107465232,107465233,pull_request
103972425,c461cd38763f2344207e2488a0cfa7f29b81fce2,,master,passed,214,2016-01-21 22:58:28 UTC,103972426,103972427,push
103967142,c8c4945d9fdb25788223ce400496fd0892510b67,,master,passed,272,2016-01-21 22:33:27 UTC,103967143,103967144,push
103706146,a0dade35db3c77668c54b9f2e6dfedf6907309aa,19,master,passed,705,2016-01-20 21:48:23 UTC,103706147,103706148,pull_request
103699225,9253556a93f101d2d6aa0d92ab783f6f393ebe32,18,master,passed,2116,2016-01-20 21:12:02 UTC,103699227,103699228,pull_request
74795645,2bc439cb7216ac5a4895e4bcbad041fd5b140eed,17,master,passed,199,2015-08-09 14:15:09 UTC,74795646,74795647,pull_request
74141806,49bb23462a3614aa3c1837253752d8ca684bc282,17,master,failed,301,2015-08-04 21:55:09 UTC,74141807,74141808,pull_request
59079485,1d0e2628c63905020c2e61263cb51dec8505d556,,master,passed,304,2015-04-19 00:42:22 UTC,59079486,59079487,push
59059114,b7a87f79ac2463720cc92217d5855794fd8002fd,,master,passed,307,2015-04-18 20:06:06 UTC,59059115,59059116,push
59058239,65e9c84b84c9b7cd546328a04b1dc534495e4e0d,,master,passed,344,2015-04-18 19:54:46 UTC,59058240,59058241,push
58972019,e27b4fb0cc3a47ae88e2e917f122337e31f7f85b,15,master,passed,378,2015-04-17 21:33:32 UTC,58972020,58972021,pull_request
58614445,a22216b839cc133093a0f7280fe68cdc1c40b9ec,,master,passed,875,2015-04-15 15:25:04 UTC,58614446,58614447,push
58535774,a74050e24ab4740de8d830d1b6e3d68f58074eb9,14,master,passed,319,2015-04-15 01:33:19 UTC,58535775,58535776,pull_request
57874731,be21b367e88dafc39c9e29496b6c431493445816,13,master,passed,423,2015-04-09 22:15:13 UTC,57874732,57874733,pull_request
57834180,7c87a1252efb2ba9e39bd336ce2c2c77de5f248f,13,master,passed,511,2015-04-09 17:22:48 UTC,57834181,57834182,pull_request
57124473,4aa917b6821e530fd50b10988cea4d2415ea8421,,master,passed,314,2015-04-04 03:52:04 UTC,57124474,57124475,push
57124069,7401de9e592f3a043e5b2dc069b338888c546fae,11,master,passed,291,2015-04-04 03:42:10 UTC,57124070,57124071,pull_request
51550419,b81c7f451d7c74993dfa2c5aab231fb05cd8ad65,11,master,passed,381,2015-02-20 18:52:37 UTC,51550420,51550421,pull_request
51550237,96e1b2bd6f11d426c2157abf0a7a5157794d0138,11,master,failed,331,2015-02-20 18:51:07 UTC,51550238,51550239,pull_request
51549309,9ba0e970be86183b94225696eaaa52412b39a556,11,master,passed,326,2015-02-20 18:44:19 UTC,51549310,51549311,pull_request
51548475,7a893959ab5c3302cb403bd7fa1fa605f80a3155,11,master,passed,295,2015-02-20 18:35:50 UTC,51548476,51548477,pull_request
51465439,93676353477ce1b69adc784a01dc31d55bc3e713,11,master,passed,327,2015-02-20 03:01:43 UTC,51465440,51465441,pull_request
51464912,a233d85daaa8f0514c8d5b935a4f3320ef52d2ee,11,master,passed,278,2015-02-20 02:52:12 UTC,51464913,51464914,pull_request
51460729,c86de4da99fc5ddc91d90f3a13ea7b32e7028bcf,,master,passed,344,2015-02-20 01:50:58 UTC,51460730,51460731,push
51460057,71e61e5bca4f15395bc188dddb386499dedf0c59,12,master,passed,316,2015-02-20 01:42:13 UTC,51460060,51460063,pull_request
51459601,864fc8a290bcdcc4b75ddf537df5728524f9839f,12,master,failed,335,2015-02-20 01:33:37 UTC,51459602,51459603,pull_request
