build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
669096326,cf7a2c95b7cbf238e81d70cb28d5531c0342d7d9,126,master,passed,46,2020-03-31 06:03:57 UTC,669096327,pull_request
567022202,31936ab3eb9fef5cd5b52d70e065cb03dc3a28fc,,switch-to-jdk8,errored,635,2019-08-02 16:11:51 UTC,567022203,567022204,567022205,567022206,567022207,567022208,567022209,567022210,567022211,567022212,567022213,567022215,567022217,567022218,push
567018560,89ca875a9db1ecfbe1b4c5b13f4814af1db27bc9,110,master,errored,637,2019-08-02 16:03:18 UTC,567018570,567018571,567018572,567018573,567018574,567018575,567018577,567018581,567018591,567018594,567018607,567018610,567018615,567018616,pull_request
567017728,d676f45e5476cd85dbd54c0a878c16554220877e,,switch-to-jdk8,errored,590,2019-08-02 16:00:56 UTC,567017729,567017730,567017731,567017732,567017733,567017734,567017735,567017736,567017737,567017738,567017739,567017740,567017741,567017742,push
566548466,98200f70faba3ac4464ddbd27bbc2f303614347f,,master,passed,972,2019-08-01 16:01:53 UTC,566548475,566548477,566548478,566548479,566548482,566548485,566548486,566548487,566548488,566548489,566548492,566548493,566548494,566548495,push
566040914,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,errored,98,2019-07-31 16:08:42 UTC,566040915,566040916,566040917,566040918,566040919,566040920,566040921,566040922,566040923,566040924,566040925,566040926,566040927,566040928,cron
565039363,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,failed,623,2019-07-29 15:40:15 UTC,565039364,565039365,565039366,565039367,565039368,565039369,565039370,565039371,565039372,565039373,565039374,565039375,565039376,565039377,cron
564409924,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,passed,661,2019-07-27 15:39:06 UTC,564409925,564409926,564409927,564409928,564409929,564409930,564409931,564409932,564409933,564409934,564409935,564409936,564409937,564409938,cron
564073400,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,passed,647,2019-07-26 15:38:34 UTC,564073402,564073403,564073404,564073405,564073407,564073408,564073409,564073410,564073411,564073412,564073413,564073414,564073415,564073416,cron
563142420,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,passed,696,2019-07-24 15:41:00 UTC,563142421,563142423,563142424,563142426,563142427,563142428,563142429,563142430,563142432,563142433,563142434,563142435,563142437,563142439,cron
562172259,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,passed,734,2019-07-22 16:24:16 UTC,562172260,562172261,562172262,562172263,562172264,562172265,562172266,562172267,562172268,562172269,562172270,562172271,562172272,562172273,cron
561725590,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,passed,638,2019-07-21 15:37:27 UTC,561725591,561725592,561725593,561725594,561725595,561725596,561725597,561725598,561725602,561725604,561725605,561725606,561725607,561725608,cron
561416406,838fa4b3aefca1115c68d964c10d2564be4337a7,,r5.5.1,passed,654,2019-07-20 14:55:45 UTC,561416407,561416408,561416409,561416410,561416411,561416412,561416413,561416414,561416415,561416416,561416417,561416418,561416419,561416420,push
561416391,838fa4b3aefca1115c68d964c10d2564be4337a7,,master,passed,663,2019-07-20 14:55:32 UTC,561416392,561416393,561416394,561416395,561416396,561416397,561416398,561416399,561416400,561416401,561416402,561416403,561416404,561416405,push
561077956,2afa6c7adc10718083f3c17ff6a260badbe84ef0,,master,passed,639,2019-07-19 15:36:39 UTC,561077957,561077958,561077959,561077960,561077961,561077962,561077963,561077964,561077965,561077966,561077967,561077968,561077969,561077970,cron
560037678,2afa6c7adc10718083f3c17ff6a260badbe84ef0,,master,passed,657,2019-07-17 15:35:42 UTC,560037679,560037680,560037681,560037682,560037683,560037684,560037685,560037686,560037689,560037690,560037691,560037692,560037693,560037694,cron
559507560,2afa6c7adc10718083f3c17ff6a260badbe84ef0,,master,passed,674,2019-07-16 15:34:56 UTC,559507561,559507562,559507564,559507566,559507567,559507568,559507569,559507570,559507573,559507575,559507576,559507577,559507578,559507579,cron
558985011,2afa6c7adc10718083f3c17ff6a260badbe84ef0,,master,passed,645,2019-07-15 15:33:46 UTC,558985013,558985015,558985016,558985018,558985020,558985022,558985025,558985026,558985027,558985028,558985029,558985030,558985033,558985034,cron
558570843,2afa6c7adc10718083f3c17ff6a260badbe84ef0,,master,passed,711,2019-07-14 15:32:55 UTC,558570845,558570847,558570848,558570849,558570850,558570851,558570852,558570853,558570854,558570855,558570856,558570857,558570858,558570859,cron
557905989,2afa6c7adc10718083f3c17ff6a260badbe84ef0,,master,passed,645,2019-07-12 15:32:39 UTC,557905990,557905991,557905992,557905993,557905994,557905995,557905996,557905997,557906000,557906004,557906005,557906006,557906008,557906009,cron
557398098,2afa6c7adc10718083f3c17ff6a260badbe84ef0,,master,passed,663,2019-07-11 15:31:48 UTC,557398104,557398106,557398107,557398108,557398111,557398114,557398115,557398116,557398117,557398118,557398119,557398120,557398121,557398122,cron
